date,0386.HK,0857.HK,0939.HK,0941.HK,1088.HK,1211.HK,1288.HK,1398.HK,300750.SZ,600519.SS,9988.HK,TCEHY
2000-03-31,,0.069999444,,0.31456704,,,,,,,,
2000-06-30,,0.069999444,,0.318891535,,,,,,,,
2000-09-30,,0.089909266,,0.2977128,,,,,,,,
2000-12-31,,,,,,,,,,,,
2001-03-31,,0.074905362,,0.36956619,,,,,,,,
2001-06-30,,0.077154738,,0.370561737,,,,,,,,
2001-09-30,,0.059636695,,0.384571536,,,,,,,,
2001-12-31,,,,,,,,,,,,
2002-03-31,0.000904952,0.054928606,,0.409401648,,,,,,,,
2002-06-30,,0.055623688,,,,,,,,,,
2002-09-30,,0.068595018,,0.496363468,,,,,,,,
2002-12-31,,,,,,,,,,,,
2003-03-31,0.051573387,0.109842365,,0.472185676,,,,,,,,
2003-06-30,,0.109842365,,,,,,,,,,
2003-09-30,0.044706399,0.090314616,,0.49503337,,,,,,,,
2003-12-31,,,,,,,,,,,,
2004-03-31,0.065919537,0.130000068,,1.01669186,,,,,,,,
2004-06-30,,0.128769339,,0.507917583,,,,,,,,
2004-09-30,0.079875315,0.165000086,,0.630629467,,,,,,,,
2004-12-31,,,,,,,,,,,,
2005-03-31,0.079884187,0.175000091,,0.64735133,,,,,,,,
2005-06-30,,0.177357811,,0.609809227,,,,,,,,
2005-09-30,0.074809359,0.204913463,,0.779744156,,,,,,,,
2005-12-31,,,,,,,,,,,,
2006-03-31,0.080769231,0.225174042,,0.759785292,,,,,,0.691209617,,
2006-06-30,,0.225409793,,,,,,,,,,
2006-09-30,0.113076923,0.172264463,,0.912611988,,,,0.039307404,,0.345604808,,
2006-12-31,,,,,,,,,,,,
2007-03-31,0.176923077,0.21,,0.915157982,0.256,,,0.058961105,,0.428249437,,
2007-06-30,,0.216432709,,0.946172733,,,,,,,,
2007-09-30,0.123076923,0.16,0.1,,0.28,,,0.068787956,,0.586025545,,
2007-12-31,,,,,,,,,,,,
2008-03-31,0.053846154,0.16,0.14,,0.34,,,0.098268509,,0.698722765,,
2008-06-30,,0.119308728,,,,,,,,,,
2008-09-30,0.065384615,0.22,0.11,,0.392,,,0.088441658,,0.721262209,,
2008-12-31,,,,,,,,,,,,
2009-03-31,0.1,0.1,0.11,,0.375,,,0.10809536,,0.969196093,,
2009-06-30,,,,,,,,,,,,0.13241945
2009-09-30,0.151538462,0.17,0.13,,0.44,,0.07,0.098268509,,0.796393689,,
2009-12-31,,,,,,,,,,,,
2010-03-31,0.146153846,0.18,0.375,,0.449,1.25,0.1,0.12,,1.006761833,,
2010-06-30,,,,,,,,,,,,0.210873769
2010-09-30,0.173846154,0.19,0.425,,0.497,0.008333333,0.08,0.13,,0.851239669,,
2010-12-31,,,,,,,,,,,,
2011-03-31,0.181538462,0.2,0.19,,0.529,0.04,0.1,0.15,,1.495867769,,0.314953976
2011-06-30,,,,,,,,,,,,0.257726855
2011-09-30,0.175384615,0.2,0.18,,1.5525,0.010966667,0.1,0.16,,1.322314049,,0.268043108
2011-12-31,,,,,,,,,,,,
2012-03-31,0.118461538,0.21,0.21,,1.4075,0.003333333,0.13,0.18,,2.363636363,,0.323588235
2012-06-30,,,,,,,,,,,,0.339534991
2012-09-30,0.162,0.14,0.21,,0.572,0.000666667,0.12,0.18,,2.727272727,,0.351895871
2012-12-31,,,,,,,,,,,,
2013-03-31,0.145,0.2,0.24,,0.579,0.016666667,0.14,0.2,,2.859504132,,0.440762943
2013-06-30,,,,,,,,,,,0.24977252,0.401790588
2013-09-30,0.189,0.16,0.23,,0.498,0.0054,0.14,0.19,,3.045454544,0.2823903,0.420966688
2013-12-31,,,,,,,,,,,0.474426606,
