date,ADANIPORTS.NS,BHARTIARTL.NS,HDFCBANK.NS,HINDUNILVR.NS,INFY.NS,ITC.NS,LT.NS,MARUTI.NS,NTPC.NS,RELIANCE.NS,SBIN.NS,SUNPHARMA.NS,TATAMOTORS.NS,TCS.NS,ULTRACEMCO.NS
2000-03-31,,,,,,,,,,,,,,,
2000-06-30,,,,,0.006354384,,,,,,,,,,
2000-09-30,,,,,0.007767803,,,,,,,,,,
2000-12-31,,,,,0.008100721,,,,,,,,,,
2001-03-31,,,,,,,,,,,,,,,
2001-06-30,,,0.127550429,,0.009351182,,,,,,,,,,
2001-09-30,,,0.126855661,,0.009841609,,,,,,,,,,
2001-12-31,,,0.133655419,,0.009928512,,,,,,,,,,
2002-03-31,,,,,,,,,,,,,,,
2002-06-30,,,0.14640003,,0.010210058,,,,,,,,,,
2002-09-30,,,0.144719885,,0.011128973,,,,,,,,,,
2002-12-31,,,0.175940045,,0.011128592,,,,,,,,,,
2003-03-31,,,,,,,,,,,,,,,
2003-06-30,,,0.190388381,,0.013882675,,,,,,,,,,
2003-09-30,,,0.210110938,,0.015416017,,,,,,,,,,
2003-12-31,,,0.234770761,,0.016774822,,,,,,,,,,
2004-03-31,,,,,,,,,,,,,,,
2004-06-30,,,0.27586206,,0.019553314,,,,,,,,1.204409292,,
2004-09-30,,,0.277649683,,0.022768853,,,,,,,,1.653473214,,
2004-12-31,,,0.307971733,,0.026181913,,,,,,,,1.808826183,,
2005-03-31,,,,,,,,,,,,,,,
2005-06-30,,,0.334285927,,0.028284546,,,,,,,,1.95306122,,
2005-09-30,,,0.336980777,,0.031863297,,,,,,,,1.974436597,,
2005-12-31,,,0.401867615,,0.03281528,,,,,,,,1.94141492,,
2006-03-31,,,,,,,,,,,,,,,
2006-06-30,,,0.167559405,,0.039546093,,,,,,,,2.260330728,,
2006-09-30,,,0.333261847,,0.045068411,,,,,,,,2.248788417,,
2006-12-31,,,0.544439286,,0.049169904,,,,,,,,2.26239383,,
2007-03-31,,,,,,,,,,,,,,,
2007-06-30,,,0.388866453,,0.057840206,,,,,,,,1.830891746,,
2007-09-30,,,0.379486203,,0.059599604,,,,,,,,1.822900998,,
2007-12-31,,,0.56481458,,0.068160275,,,,,,,,1.82490907,,
2008-03-31,,,,,,,,,,,,,,,
2008-06-30,,,0.55,,0.067619089,,,,,,,,,,
2008-09-30,,,,,0.070225681,,,,,,,,,,
2008-12-31,,,0.73,,0.072838228,,,,,,,,,,
2009-03-31,,,,,,,,,,,,,,,
2009-06-30,,,0.71,,0.068626477,,,,,,,,,,
2009-09-30,,,,,0.069475715,,,,,,4.806,,,,
2009-12-31,,,0.935,,0.073168214,,,,,,5.205,,2.374530783,,
2010-03-31,,,,,,,,,,,,,,,
2010-06-30,,,0.885,,0.071361517,,,,,,,,6.886139269,,
2010-09-30,,,,,0.081855073,,,,,,3.723,,7.699416063,,
2010-12-31,,,1.175,,0.086871384,,,,,,5.843,,7.794397293,,
2011-03-31,,,,,,,,,,,,,,,
2011-06-30,,2.886727022,1.165,,0.084013978,1.146666667,5.439999999,,,,3.957,2.4,,6.168848599,
2011-09-30,,2.44240719,,,0.089917162,,,,,,5.465,3.849999999,,5.878232465,
2011-12-31,3.193979657,2.401850613,1.525,,0.100196528,,,,,,6.8,3.25,10.59437164,7.160075448,
2012-03-31,,,,,,,,,,,,,,,
2012-06-30,1.38,1.809724589,3.0199793,,0.0910051,1.366666667,6.266666665,,,,7.263999999,3.841076972,,8.475486434,
2012-09-30,1.375465766,1.712388805,3.3,,0.094286336,,,,,,6.818,1.5,,8.773587671,
2012-12-31,1.802391252,0.674140435,3.95,,0.094942233,,,,,,6.927,4.299999999,,9.068010223,
2013-03-31,,,2.827370848,,0.09712942,,,,,,,,,,
2013-06-30,2.07,1.623164336,3.85,,0.091441661,,3.306666668,,,4.408214534,6.284,-6.200000001,,9.801003613,24.30000002
2013-09-30,1.65,1.155411815,4.15,,0.083785063,,5.813333334,,,4.953050039,4.492,6.6,,11.82739525,10.20999999
2013-12-31,2.18,1.377121102,4.9,,0.101285859,,5.733333333,,,4.631101786,4.15,7.399999998,,13.61452447,14.40999998
2014-03-31,,,3.710879984,,0.106536098,,,,,,,,,,
2014-06-30,2.74,2.500988912,4.65,,0.105442299,,6.946666665,,,5.027345789,5.96,6.0,,14.21248907,22.85999997
2014-09-30,2.77,3.120152654,4.95,,0.111786337,,6.193333331,,,5.027345789,5.39,8.500000001,,13.38695331,15.09999999
2014-12-31,2.469999999,3.244526156,5.75,,0.114192697,,6.220000002,,,4.408214534,5.13,1.6,,13.59951473,14.57000002
2015-03-31,,,,,0.108942458,,,,,,,4.29343132,,,
2015-06-30,3.09,5.6689082,5.35,,0.104129739,,2.999999999,,,5.076876289,6.23,2.3,,14.58312654,22.00999998
2015-09-30,3.27,3.4608279,6.4,,0.11353623,,5.580000002,,,7.850584311,6.54,4.3,,15.41035801,17.87
2015-12-31,3.260000001,2.496482626,6.65,,0.11462976,,5.013333334,,,6.092251547,1.61,6.4,,15.50424624,20.61000003
2016-03-31,,2.974148977,,,0.116598511,,,,,6.025385372,,5.9,,16.09,29.80999996
2016-06-30,3.980000001,3.298601592,6.4,,0.111785747,,4.359999999,,,5.973378347,1.35,8.5,,16.02951285,28.43
2016-09-30,5.18,3.298601592,6.8,,0.117909994,,10.26,,,6.052627147,0.03,9.3,,16.71210569,22.38000003
2016-12-31,4.09,1.135584155,7.6,,0.119659525,,6.949999998,,,6.320091849,2.77,6.1,,17.1993095,21.67000002
2017-03-31,5.597384975,0.838169257,,,,,21.60999999,,,6.751007203,,5.199999999,,16.76,26.45
2017-06-30,3.669999999,0.829156684,7.6,,0.118346685,,6.380000001,,,7.607884859,3.7,-1.77,,15.2,32.67000001
2017-09-30,4.790454412,0.775081248,,,0.126429144,,13.0,,,6.770819403,2.11,3.800000001,,16.84,15.4
2017-12-31,4.799999999,0.693968095,8.95,,0.174939303,,10.64,,,7.910020912,-2.19,1.34,,17.06,16.62000003
2018-03-31,4.479999999,0.189264026,9.25,,0.131368432,,22.6,,,7.890208711,,5.499999999,,18.035,16.24999999
2018-06-30,3.340000001,0.225761331,8.849999999,7.23,0.122853027,2.89,8.670000003,66.70086069,2.73,7.910020912,-4.74,4.41,,19.171623,23.00999997
2018-09-30,2.92,0.274839881,10.07612905,6.830000001,0.133653698,2.46,15.91,75.47336954,2.52,7.954598362,0.65,-1.12,,20.65479138,12.46999998
2018-12-31,6.800000001,0.196314201,10.3,6.649999999,0.115464053,2.51,14.56,50.45020184,2.63,8.568776567,5.28,5.180000001,,21.59959768,13.16000002
2019-03-31,,,10.8,,0.13365141,,,,,,,,,,
2019-06-30,4.940000001,-6.066108807,10.4,8.279999999,0.126912495,2.74,10.5,45.56076955,2.55,8.47,3.31,5.78,-10.89,21.66888695,44.42000003
2019-09-30,5.09,-44.09216952,11.6,8.380000001,0.133903031,2.04,18.01,46.04999999,3.75,9.235,3.78,4.430000001,,21.43170445,20.08000002
2019-12-31,6.660000001,-1.982773429,13.98505048,7.510000001,0.147655176,3.24,16.76,52.5324313,3.3,9.12,7.32,3.81,5.02,21.63424232,24.67999998
2020-03-31,,,13.24117736,,0.139144975,,,,,,7.740002465,,,,
2020-06-30,3.73,-28.68150475,12.6,8.08,0.13,2.04,2.16,-8.835406084,2.92,10.345,5.35,-6.9,-23.46,18.67612345,27.54000004
2020-09-30,6.829999999,-1.39,14.0,8.4,0.153940144,2.74,39.31999999,46.99000004,3.47,7.42,5.88,7.6,,19.92066535,45.39000005
2020-12-31,7.69,1.56,15.92207014,8.240000001,0.166161211,2.87,17.57,66.10000005,3.81,10.165,7.01,7.699999999,8.069999999,23.18792097,54.92999991
2021-03-31,,,15.3,,0.164239382,,,,,,6.860008511,,,,
2021-06-30,6.060000001,0.51,14.4,8.92,0.165821973,2.66,8.359999999,15.71999999,3.52,9.48,8.27,6.0,-11.62,24.3521895,59.01999998
2021-09-30,4.61,2.06,8.213335466,9.280000001,0.17,3.02,12.95,16.12000002,3.71,10.44,9.96,8.499999999,-11.6,26.01748132,45.54000007
2021-12-31,7.250000002,1.49,,9.779999999,0.184687378,3.73,14.63,34.48999997,4.64,14.04,10.71,8.600000001,-3.96,26.40947371,69.2199999
2022-03-31,,,,,0.179400297,,,,,,,,,,
2022-06-30,5.360000001,2.88,17.26,10.13,0.16,3.56,12.11,34.30000004,4.06,13.27,8.21,8.6,-13.07,25.90288857,54.91999999
2022-09-30,7.77,3.8,20.01,11.35,0.17832375,3.73,15.86,69.93000002,3.44,10.095,16.53,9.400000001,-2.47,28.50738876,26.20999998
2022-12-31,6.089999999,2.81,22.78,10.53,0.19,4.043649688,18.16999999,76.52999997,4.93,11.67,17.34,8.999999999,7.81,29.64,36.69999996
2023-03-31,,,,,0.179536108,,,,,,,,,,
2023-06-30,9.79,2.84,22.15,10.87,0.17,4.11,17.74,80.8800001,5.03,11.83,20.77,8.400000001,8.349999999,30.26467483,58.57000008
2023-09-30,8.089999998,2.36,22.24,11.3,0.18,3.93,22.94,120.4300001,4.76,12.855,18.04,9.899999998,9.810000001,31.0,44.46000002
2023-12-31,10.22,4.27,11.37,10.68,0.177097466,4.28,21.43999999,102.0,5.32,12.76,12.4,10.5,18.32,30.29,61.65999991
2024-03-31,,,20.83505179,,0.23167429,,,,,,,,,,
2024-06-30,14.41,7.21,10.835,11.11,0.18,4.08,20.26000001,119.58,5.65,11.19,21.65,11.8,27.41,33.27724921,50.80999992
2024-09-30,11.32,6.21,,11.03,0.19,3.99,24.69,98.68000002,5.44,12.24,22.17,12.7,10.02,32.92,28.44999998
