date,000270.KS,000660.KS,005380.KS,005490.KS,005930.KS,010140.KS,010950.KS,035420.KS,035720.KS,051910.KS,055550.KS,105560.KS,207940.KS,329180.KS,373220.KS
2000-03-31,,,,4176.106179,,,,,,,,,,,
2000-06-30,,,,4208.695631,,,,,,,,,,,
2000-09-30,,,,4208.695631,,,,,,,,,,,
2000-12-31,,,,,,,,,,,,,,,
2001-03-31,,,,2468.564637,,,,,,,,1128.733624,,,
2001-06-30,,,,2852.307115,,,,,,,,1095.980387,,,
2001-09-30,,,,2288.391022,,,,,,,,459.135633,,,
2001-12-31,,,,,,,,,,,,,,,
2002-03-31,,,,2332.045629,,,,,,,,1100.795758,,,
2002-06-30,,,,3965.500003,,,,,,,,1037.499999,,,
2002-09-30,,,,3965.500003,,,,,,,,1037.499999,,,
2002-12-31,,,,,,,,,,,,,,,
2003-03-31,,,,5723.783715,,,,,,,166.438883,226.1249997,,,
2003-06-30,,,,6415.000016,,,,,,,174.5137095,-368.7499998,,,
2003-09-30,,,,22855.15667,,,,,,,292.1173391,-1297.33333,,,
2003-12-31,,,,,,,,,,,,,,,
2004-03-31,,,,11448.00004,,,,,,,1244.328793,496.846546,,,
2004-06-30,,,,11369.7778,,,,,,,6545.705701,493.1796683,,,
2004-09-30,,,,11382.66665,,,,,,,1244.328793,390.6666669,,,
2004-12-31,,,,,,,,,,,,,,,
2005-03-31,,,,15865.59991,,,,,,,1143.672898,2082.884636,,,
2005-06-30,,,,15846.75235,,,,,,,1143.672898,2082.884636,,,
2005-09-30,,,,9019.053337,,,,,,,1193.81305,2173.799592,,,
2005-12-31,,,,,,,,,,,,,,,
2006-03-31,,,,8681.706516,,,,,,,982.5215247,2402.752753,,,
2006-06-30,,,,8678.239318,,,,,,,959.1948026,2345.707341,,,
2006-09-30,,,,12235.82164,,,,,,,943.6906681,2307.792037,,,
2006-12-31,,,,,,,,,,,,,,,
2007-03-31,,,,12159.14851,,,,,,,1073.413409,3515.352005,,,
2007-06-30,177.0000002,454.9999999,2256.999998,14388.24544,194.8,439.8380959,2418.000001,406.4826972,60.99999972,3263.000016,1081.361743,2693.323435,,,
