date,AAPL,CAT,CVX,GOOG,GS,JNJ,JPM,MSFT,NVDA,UNH,V,WMT,XOM,AMD,AMZN
2000-01-31,,,,,,,,,,,,,,,
2000-02-29,,,,,1.8304643597311272,,,,,,,,,,
2000-03-31,0.0128281303611124,0.3650000000353682,0.7955716227832205,,,0.4727639058789666,1.58866083656735,0.2289306968708005,,0.1322188449848024,,,0.5,0.6274821049840933,-0.0448443370438868
2000-04-30,,,,,,,,,0.001202585753367,,,0.0991698451873457,,,
2000-05-31,,,,,1.5586934364371123,,,,,,,,,,
2000-06-30,0.010987658661791,0.4550000002022222,0.8541029852276919,,,0.4569225611800201,0.8634180562301009,,,0.1306084818684695,,,0.6500000000215231,0.670117366943154,-0.0453267635744213
2000-07-31,,,,,,,,,0.0007261376005282,,,0.1191489361702127,,,
2000-08-31,,,,,1.712198392460981,,,,,,,,,,
2000-09-30,,0.31499999986875,1.1803799420218344,,,0.441235325506937,1.0841947447328968,0.2081524816003019,,0.1413921690490988,,,0.6450000000071826,1.3097488964330022,-0.0339767314396786
2000-10-31,,,,,,,,,0.0017727751009303,,,0.1021336914353924,,,
2000-11-30,,,,,,,,,,,,,,,
2000-12-31,-0.0103275583745376,,,,,,,0.2461538461538461,,,,,,,
2001-01-31,,,,,,,,,,,,,,,
2001-02-28,,,,,1.4901047903388218,,,,,,,,,,
2001-03-31,0.0022187272967439,0.2350000000435185,1.246057396518827,,,0.5138392265925043,0.5990033560459677,0.2296664167916042,,0.1668240478438778,,,0.7250000000145,0.3971311957804592,-0.0312804959935538
2001-04-30,,,,,,,,,0.001602636809864,,,0.1028852605681055,,,
2001-05-31,,,,,1.123005073448872,,,,,,,,,,
2001-06-30,0.0031232655635907,0.3946985144188756,1.0297347577478986,,,0.4892219324596441,0.181459765467044,,,0.1781719399169063,,,0.6599999999585651,0.0525627044711014,-0.0233993139718472
2001-07-31,,,,,,,,,0.0019349327950345,,,0.1209545115585384,,,
2001-08-31,,,,,0.921078538725588,,,,,,,,,,
2001-09-30,,0.298572676958928,0.9077823685036824,,,0.5030929191892604,0.2207259656760998,0.1188403112263801,,0.1868327402135231,,,0.4600000000173584,-0.5417540951298965,-0.0230774455783421
2001-10-31,,,,,,,,,0.0023918274430515,,,0.1105388864009553,,,
2001-11-30,,,,,,,,,,,,,,,
2001-12-31,0.0019314360532019,,,,,,,0.2115848007414272,,,,,,,
2002-01-31,,,,,,,,,,,,,,,
2002-02-28,,,,,1.0475809801789002,,,,,,,,,,
2002-03-31,0.002020724550995,0.1164144353899883,0.341955324126481,,,0.6028928336620645,0.4898392478010312,0.2528162511542013,,0.2399154196486662,,,0.2999999999856459,-0.0268862637394881,-0.0032103230026458
2002-04-30,,,,,,,,,0.0046037292169927,,,0.1221174004192872,,,
2002-05-31,,,,,1.1332528294409503,,,,,,,,,,
2002-06-30,0.0016034699088828,0.2906976744186046,0.1919025606496962,,,0.5507091962442565,0.5119539997982447,,,0.2663934426229508,,,0.4,-0.5410992972128432,-0.0124096334400708
2002-07-31,,,,,,,,,0.0002874883997828,,,0.1516448850833709,,,
2002-08-31,,,,,1.0547585477344772,,,,,,,,,,
2002-09-30,,0.3094131319000581,-0.4257591842001897,,,0.5799488972565896,0.0135951661631419,0.1900549399385417,,0.2940686437854048,,,0.3900000000132954,-0.7414989205904662,-0.004620044778085
2002-10-31,,,,,,,,,-0.0026432953300915,,,0.135489708210812,,,
2002-11-30,,,,,,,,,,,,,,,
2002-12-31,-0.0003978675888706,,,,,,,0.1742502102214332,,,,,,,
2003-01-31,,,,,,,,,,,,,,,
2003-02-28,,,,,1.3529532122721564,,,,,,,,,,
2003-03-31,0.0006935005131903,0.1873279197016694,0.9039403324052252,,,0.6973453712437677,0.6935,0.1999066728884741,,0.3375209380234505,,,1.049999999962713,-0.4242055348799462,-0.0013024365510975
2003-04-30,,,,,,,,,0.0010374244009868,,,0.1414348685210518,,,
2003-05-31,,,,,1.430629903567619,,,,,,,,,,
2003-06-30,0.0009403888497995,0.5787641427328112,0.7531141269147926,0.0029679974909349,,0.4077231526097651,0.9047856430707876,,,0.3720338983050847,,,0.6300000000045324,-0.4045276045276045,-0.0054984309782774
2003-07-31,,,,,,,,,0.0012572074689055,,,0.1860819247753921,,,
2003-08-31,,,,,1.3858751421276885,,,,,,,,,,
2003-09-30,,0.3205313312157089,0.9292211103980548,,,0.6981132075471698,0.8026838966202783,0.2417907686615484,,0.4040747028862478,,,0.5500000000301369,-0.0899163341337156,0.0019555831440117
2003-10-31,,,,,,,,,0.0003279644391935,,,0.1549747822099954,,,
2003-11-30,,,,,,,,,,,,,,,
2003-12-31,0.0031038763967443,,,,,,,0.1432932469935245,,,,,,,
2004-01-31,,,,,,,,,,,,,,,
2004-02-29,,,,,2.628048807195618,,,,,,,,,,
2004-03-31,0.0022483517626491,0.6129597197898424,1.2046634865180663,0.0059025025953612,,0.8400161735966035,0.9434055118110236,0.1219286045433472,,0.4608985024958402,,,0.8300000000595037,0.1283444530467255,0.0137376237623762
2004-04-30,,,,,,,,,0.001077116039337,,,0.168141592920354,,,
2004-05-31,,,,,2.4328756141922074,,,,,,,,,,
2004-06-30,0.0029045837569581,0.826518691588785,1.9432660531442043,0.0072947894064221,,0.8281113132538238,-0.2746230663794791,,,0.4885245901639344,,,0.8899999999354404,0.0909926340642716,0.0093827160493827
2004-07-31,,,,,,,,,0.000256588391919,,,0.20723889931207,,,
2004-08-31,,,,,1.7968111385610297,,,,,,,,,,
2004-09-30,,0.7284961966062025,1.5147335162118127,0.00634531605099,,0.7887200566018665,0.3998861534082823,0.2325025292007725,,0.5448868071818892,,,0.8799999999380281,0.123427181678461,0.0066339066339066
2004-10-31,,,,,,,,,0.0012988415880863,,,0.1796322489391796,,,
2004-11-30,,,,,,,,,,,,,,,
2004-12-31,0.0133527084905482,,,,,,,0.3183782292911648,,,,,,,
2005-01-31,,,,,,,,,,,,,,,
2005-02-28,,,,,3.058871161833615,,,,,,,,,,
2005-03-31,0.0128155180545018,0.8492910393217366,1.2804881257088243,0.0347183758657762,,0.9552168500386932,0.6422174840085287,0.2360906411201179,,0.581377151799687,,,1.2300000000845035,-0.0443246488601469,0.0063414634146341
2005-04-30,,,,,,,,,0.0031843633941507,,,0.1940239672027751,,,
2005-05-31,,,,,1.782035453049397,,,,,,,,,,
2005-06-30,0.0139773880038782,1.1204481792717087,1.7730778060616736,0.0316872375596998,,0.8702962639136429,0.2837102776982536,,,0.6112877583465819,,,1.2099999999572382,0.0286256935768586,0.0063260340632603
2005-07-31,,,,,,,,,0.0036419088094801,,,0.2239520958083832,,,
2005-08-31,,,,,3.397422389577672,,,,,,,,,,
2005-09-30,,0.982616381850324,1.6475756021283705,0.0346700961102611,,0.8532239628857662,0.7242467718794835,0.2936611817501869,,0.6374501992031872,,,1.6,0.1904642566255247,0.0036319612590799
2005-10-31,,,,,,,,,0.0031583867495057,,,0.1899959983993597,,,
2005-11-30,,,,,,,,,,,,,,,
2005-12-31,0.0242886770744292,,,,,,,0.3459280303030303,,,,,,,
2006-01-31,,,,,,,,,,,,,,,
2006-02-28,,,,,5.364093651477079,,,,,,,,,,
2006-03-31,0.0174131085881451,1.25,1.804894353155855,0.0504315211215069,,1.1111111111111112,0.8860540789587352,0.2889449674851985,,0.6585365853658537,,,1.3799999999408572,0.398638165833477,0.006115107913669
2006-04-30,,,,,,,,,0.0043435066309897,,,0.2091832653387729,,,
2006-05-31,,,,,5.083388982470414,,,,,,,,,,
2006-06-30,0.0197999035174193,1.5798217791874338,1.9821194881550943,0.0598666002210505,,0.9546377792823292,1.0190569405262249,,,0.7326362957430919,,,1.7399999998555598,0.1833632241647249,0.0026315789473684
2006-07-31,,,,,,,,,0.0041282172809051,,,0.1665866922584772,,,
2006-08-31,,,,,3.460169152872376,,,,,,,,,,
2006-09-30,,1.1772810777709737,2.302990352871187,0.0604871111808412,,0.9452054794520548,0.9505275903822868,0.350287037969584,,0.8292319164802386,,,1.7899999998566636,0.279835390946502,0.0022781774580335
2006-10-31,,,,,,,,,0.0050362559837048,,,0.2116414807707683,,,
2006-11-30,,,,,,,,,,,,,,,
2006-12-31,0.0418065980139034,,,,,,,0.2677952274117887,,,0.0749269005847953,,,,
2007-01-31,,,,,,,,,,,,,,,
2007-02-28,,,,,7.0821148153218765,,,,,,,,,,
2007-03-31,0.0318654743958016,1.2672775275663923,2.197604494578932,0.0810769791953153,,0.8890194181466381,1.384967017706284,0.5065295629820051,,0.6902457185405808,0.0657894736842105,,1.6400000001060344,-1.1129326047358834,0.0134708737864077
2007-04-30,,,,,,,,,0.0061089945995081,,,0.2285298398835516,,,
2007-05-31,,,,,5.247820161172788,,,,,,,,,,
2007-06-30,0.0337033727434809,1.2849336455893834,2.52847709072862,0.0745738561141062,,1.0642119443197129,1.2397880003513806,,,0.9260935143288084,0.0815058479532163,,1.846984698469847,-1.0869565217391304,0.0094660194174757
2007-07-31,,,,,,,,,0.0078901161144151,,,0.2398829839102876,,,
2007-08-31,,,,,6.540792617025555,,,,,,,,,,
2007-09-30,,1.4522951590161366,1.7626324759581766,0.0860341809361047,,0.882363126363542,0.9991409698154566,0.4572494669509594,,0.9838957055214724,,,1.720292504570384,-0.7148014440433214,0.0096618357487922
2007-10-31,,,,,,,,,0.010616010710566,,,0.2350859869990949,,,
2007-11-30,,,,,,,,,,,,,,,
2007-12-31,0.06446725014761,,,,,,,0.502830894135242,,,0.1367741935483871,,,,
2008-01-31,,,,,,,,,,,,,,,
2008-02-29,,,,,3.389556416237944,,,,,,,,,,
2008-03-31,0.0424326056527214,1.4931174089068826,2.500943661017605,0.1044579458640229,,1.2703456554743495,0.6987632508833922,0.4714730847749006,,0.8016129032258065,0.1230407523510971,,2.038180797304885,-0.6006600660066007,0.0171462829736211
2008-04-30,,,,,,,,,0.0079545434095232,,,0.2545699604077163,,,
2008-05-31,,,,,4.797660874826443,,,,,,,,,,
2008-06-30,0.0433224714629384,1.800423245971024,2.9135355302610284,0.0994687703766449,,1.1840700405722828,0.5846126904442239,,,0.2771381578947368,0.1421832884097035,,2.151805453205601,-1.968698517298188,0.0188095238095238
2008-07-31,,,,,,,,,-0.0054431625247336,,,0.2914237431347697,,,
2008-08-31,,,,,1.8942937546105445,,,,,,,,,,
