date,ticker,period,period_label,fiscal_year,currency,is_sales_revenue_turnover,is_sales_and_services_revenues,is_cogs,is_cog_and_services_sold,is_gross_profit,is_operating_expn,is_sg_and_a_expense,is_other_operating_expenses,is_oper_income,is_nonop_income_loss,is_net_interest_expense,is_int_expense,is_other_nonop_income_loss,is_pretax_income,is_inc_tax_exp,is_inc_bef_xo_item,is_xo_gl_net_of_tax,is_extraord_items_and_acctg_chng,is_ni_including_minority_int_ratio,is_min_noncontrol_interest_credits,is_net_income,is_earn_for_common,is_avg_num_sh_for_eps,eps,eps_cont_ops,is_sh_for_diluted_eps,diluted_eps,dil_eps_cont_ops,ebitda,ebitda_margin,ebita,ebit,gross_margin,oper_margin,profit_margin,div_per_shr,is_depr_exp,is_discontinued_operations,bs_c_and_ce_and_sti_detailed,bs_cash_near_cash_item,bs_acct_note_rcv,bs_accts_rec_excl_notes_rec,bs_inventories,bs_invtry_raw_materials,bs_invtry_finished_goods,bs_other_current_assets_detailed,bs_cur_asset_report,bs_lt_invest,bs_long_term_investments,bs_other_assets_def_chrg_other,bs_other_noncurrent_assets_detailed,bs_tot_non_cur_asset,bs_tot_asset,bs_acct_payable_and_accruals_detailed,bs_acct_payable,bs_taxes_payable,bs_st_borrow,bs_short_term_debt_detailed,bs_cur_liab,bs_lt_borrow,bs_long_term_borrowings_detailed,bs_other_noncur_liabs_sub_detailed,bs_accrued_liabilities,bs_pension_liabilities,bs_other_noncurrent_liabs_detailed,bs_non_cur_liab,bs_tot_liab,bs_sh_cap_and_apic,bs_common_stock,bs_amt_of_tsy_stock,bs_pure_retained_earnings,bs_other_ins_res_to_shrhldr_eqy,bs_eqty_bef_minority_int_detailed,bs_minority_noncontrolling_interest,bs_total_equity,bs_tot_liab_and_eqy,bs_sh_out,net_debt,net_debt_to_shrhldr_eqty,tce_ratio,cur_ratio,cash_conversion_cycle,bs_other_current_receivable,bs_net_fix_asset,bs_gross_fix_asset,bs_accum_depr,bs_accrual,bs_lt_capital_lease_obligations,bs_total_capital_leases,bs_add_paid_in_cap,bs_mkt_sec_other_st_invest,bs_disclosed_intangibles,bs_other_intangible_assets_detailed,bs_other_inv,bs_other_current_liabs_sub_detailed,bs_other_current_liabs_detailed,bs_loans_receivable,cf_net_inc,cf_depr_amort,cf_non_cash_items_detailed,cf_other_non_cash_adj_less_detailed,cf_chng_non_cash_work_cap,cf_inc_dec_in_ot_op_ast_liab_detail,cf_cash_from_oper,cf_acquis_fxd_and_intang_detailed,cf_purchase_of_fixed_prod_assets,cf_net_chg_in_lt_invest_detailed,cf_incr_invest,cf_other_investing_act_detailed,cf_cash_from_inv_act,cf_dvd_paid,cf_nt_csh_proc_pymt_debt,cf_proc_debt_and_capital_lease,cf_pymt_debt_and_capital_lease,cf_proc_fr_repurch_eqty_detailed,cf_decr_cap_stock,cf_other_financing_act_excl_fx,cf_cash_from_fin_act,cf_effect_foreign_exchanges,cf_net_chng_cash,cf_cap_expenditures,cf_free_cash_flow,cf_free_cash_flow_firm,free_cash_flow_equity,free_cash_flow_per_sh,pr_to_free_cash_flow,cash_flow_to_net_inc,cf_nt_csh_rcvd_pd_for_acquis_div,cf_cash_for_divestitures,cf_net_cash_paid_for_aquis,cf_incr_cap_stock,cf_decr_invest,cf_disp_fxd_and_intangibles_detailed,cf_disposal_of_fixed_prod_assets,revenue_per_sh,ebitda_per_sh,oper_inc_per_sh,cash_flow_per_sh,cash_st_investments_per_sh,book_val_per_sh,tang_book_val_per_sh,market_cap,short_and_long_term_debt,enterprise_value,bs_tot_cap,tot_debt_to_tot_cap,total_debt_to_ev,ev_to_ttm_sales,ev_to_ttm_ebitda,ev_to_ttm_ebit,ev_to_ttm_cash_flow_firm,ev_to_ttm_free_cash_flow_firm,diluted_mkt_cap,diluted_ev,ev_to_sh_out,ttm_net_sales,ttm_ebitda,ttm_oper_inc,ttm_cash_flow_firm,ttm_free_cash_flow_firm,is_int_income,is_tot_cash_pfd_dvd,is_operating_expenses_r_and_d,is_other_oper_income,bs_goodwill,bs_st_capital_lease_obligations,bs_pfd_eqty_and_hybrid_cptl,cf_stock_based_compensation,cf_cash_for_acquis_subsidiaries,cf_change_in_inventories,cf_acct_rcv_unbilled_rev,cf_def_inc_tax,bs_deferred_tax_liabs_st,cf_change_in_prepaid_assets,cf_change_in_accounts_payable,bs_st_deferred_revenue,cf_asset_impairment_charge,cf_net_cash_discont_ops_oper,cf_net_cash_discontinued_ops_inv,bs_invtry_in_progress,bs_invtry_adj,cf_acquisition_of_intang_assets,bs_notes_receivable
2000-03-31,0857.HK,quarterly,Q1,2000.0,CNY,55446579840.0,55446579840.0,,,,,,,55446579840.0,55446579840.0,,,55446579840.0,,,11531365440.0,,,11531365440.0,,11531365440.0,11531365440.0,164735099338.0,0.069999444479893,0.069999444479893,164735099338.0,0.069999444479893,0.069999444479893,55446579840.0,,55446579840.0,55446579840.0,100.0,100.0,20.79725291131681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3365802434503401,0.3365802434503401,0.3365802434503401,,,,,,,,,,,,,,,,,,,,,,,,,,,-55446579840.0,,,,,,,,,,,,,,,,,,,
2000-03-31,BP,quarterly,Q1,2000.0,USD,17370400000.0,17370400000.0,,,,14887481000.0,,14887481000.0,2482919000.0,-49521000.0,157964000.0,157964000.0,-207485000.0,2532440000.0,556009000.0,1976431000.0,85250000.0,85250000.0,1891181000.0,-42625000.0,1933806000.0,1933806000.0,3237750000.0,0.5972684734769516,0.6104334800401513,3260505817.0,0.5930999999807699,0.60617312494738,2482919000.0,10.341249258352802,1733844000.0,2482919000.0,100.0,14.29396559664717,11.13276608483397,0.1879894988803953,749075000.0,,289601000.0,289601000.0,,,3335423000.0,,,11423556000.0,15048580000.0,,,8876073000.0,6794960000.0,41433585000.0,56482165000.0,,,,2890992000.0,2890992000.0,14192941000.0,6108569000.0,6108569000.0,7409265000.0,,,7409265000.0,13517834000.0,27710775000.0,,,,,,28065567000.0,705823000.0,28771390000.0,56482165000.0,19484402000.0,8709960000.0,30.272989938963672,49.0620604175081,1.0602862366580683,-1.6123632688861562,,32557512000.0,32557512000.0,,,,,,,2081113000.0,2081113000.0,3335423000.0,11301949000.0,11301949000.0,,2482919000.0,,-954679000.0,-954679000.0,-1528240000.0,-653796000.0,,-890742000.0,-890742000.0,,,666332000.0,-623707000.0,-608663000.0,67699000.0,653796000.0,-586097000.0,,,589231000.0,48267000.0,,-575440000.0,-890742000.0,-890742000.0,-767459732.1144825,-589545000.0,-0.27511141996757,3.136071875915701,,-653795000.0,15671000.0,653795000.0,,,254498000.0,254498000.0,5.364960234730908,0.7668655702262374,0.7668655702262374,,0.0894451393714771,,8.243464442900162,54588465000.0,8999561000.0,64004248000.0,9705384000.0,92.7275108331623,0.1406088077153879,0.7416964252605036,7.172213015380351,7.172213015380351,7.397615657579385,4.890018985966664,54972128074.62,64387911074.62,19.76812539572234,86294400000.0,8923919000.0,8923919000.0,8652010453.452402,13088752453.452402,,,,-17370400000.0,,,,,-669466000.0,-159845000.0,-714599000.0,,,,,,,,,,,,
2000-03-31,CVX,quarterly,Q1,2000.0,USD,11727000000.0,11727000000.0,7583000000.0,7583000000.0,4144000000.0,2166000000.0,377000000.0,1789000000.0,1978000000.0,129000000.0,129000000.0,129000000.0,,1849000000.0,805000000.0,1044000000.0,,,1044000000.0,,1044000000.0,1044000000.0,1312264000.0,0.7955716227832205,0.7955716227832205,1316248000.0,0.7931635983492472,0.7931635983492472,2629000000.0,21.40141706427477,1978000000.0,1978000000.0,35.337255905176086,16.86705892385094,8.902532617037604,0.3253918418854742,651000000.0,,1812000000.0,1185000000.0,4013000000.0,,1448000000.0,789000000.0,659000000.0,1244000000.0,8517000000.0,5643000000.0,5643000000.0,1907000000.0,1907000000.0,32732000000.0,41249000000.0,5571000000.0,3064000000.0,1449000000.0,3512000000.0,3512000000.0,9083000000.0,5400000000.0,5085000000.0,8761000000.0,6915000000.0,1846000000.0,,14161000000.0,23244000000.0,3294000000.0,1069000000.0,2557000000.0,18024000000.0,-120000000.0,18005000000.0,,18005000000.0,41249000000.0,1303939316.0,7412000000.0,41.16634268258817,43.64954301922471,0.937685786634372,-7.676695312497753,4013000000.0,25182000000.0,54293000000.0,29111000000.0,1058000000.0,315000000.0,315000000.0,2225000000.0,627000000.0,,,,,,,1044000000.0,651000000.0,-43000000.0,-137000000.0,-325000000.0,,1327000000.0,,,75000000.0,,-917000000.0,-696000000.0,-427000000.0,7000000.0,87000000.0,-80000000.0,-370000000.0,-370000000.0,,-790000000.0,-1000000.0,-159000000.0,,1327000000.0,1399837209.3023255,1180000000.0,1.011229447733078,5.50502066449982,1.271072796934866,,,,,75000000.0,146000000.0,146000000.0,8.936464004194278,2.0034078508592783,1.5073186492961783,1.011229447733078,1.380819713106509,14.549663787164778,13.720562325873452,60652842080.0,8912000000.0,67752842080.0,28005000000.0,31.822888769862523,0.1315369175137634,0.7465795647430882,3.488458556276388,4.704078461431646,8.095123627987745,8.095123627987745,60836982560.0,68563982560.0,51.63049666835332,90751000000.0,19422000000.0,14403000000.0,8369587074.094105,8369587074.094105,,,,,,,,,,-46000000.0,-325000000.0,94000000.0,,-87000000.0,133000000.0,,,,,,,,
2000-03-31,ENI1.F,quarterly,Q1,2000.0,EUR,11271789900.0,11271789900.0,,,,,,,11271789900.0,11271789900.0,,,11271789900.0,,,1301597200.0,,,1301597200.0,,1301597200.0,1301597200.0,1993589744.0,0.6528911998656429,0.6528911998656429,1993589744.0,0.6528911998656429,0.6528911998656429,11271789900.0,9.09381544922546,11271789900.0,11271789900.0,100.0,100.0,11.547386985983476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.654016797550299,5.654016797550299,5.654016797550299,,,,,,,,,,,,,,,,,,,35758119880.0,3251777430.0,3251777430.0,,,,,,-11271789900.0,,,,,,,,,,,,,,,,,,,
2000-03-31,OXY,quarterly,Q1,2000.0,USD,2648000000.0,2648000000.0,1608000000.0,1608000000.0,1040000000.0,-1041000000.0,154000000.0,-1195000000.0,2081000000.0,1514000000.0,,,1514000000.0,567000000.0,296000000.0,271000000.0,30000000.0,30000000.0,241000000.0,-30000000.0,271000000.0,271000000.0,736200000.0,0.3681064928008693,0.3681064928008693,736200000.0,0.3681064928008693,0.3681064928008693,2266000000.0,42.97733901727619,2081000000.0,2081000000.0,39.27492447129909,78.58761329305136,10.234138972809667,0.1249660418364574,185000000.0,,128000000.0,128000000.0,745000000.0,,486000000.0,,,188000000.0,1547000000.0,,,2843000000.0,2843000000.0,12796000000.0,14343000000.0,706000000.0,706000000.0,,54000000.0,54000000.0,1846000000.0,4513000000.0,4513000000.0,3519000000.0,1053000000.0,,2466000000.0,8032000000.0,9878000000.0,3784000000.0,74000000.0,,-15000000.0,-47000000.0,3722000000.0,743000000.0,4465000000.0,14343000000.0,737249352.0,4439000000.0,99.41769316909294,31.13016802621488,0.8380281690140845,-4.504155500292917,745000000.0,9953000000.0,17809000000.0,7856000000.0,,,,3710000000.0,,,,486000000.0,1086000000.0,1086000000.0,,271000000.0,185000000.0,8000000.0,-59000000.0,-116000000.0,-116000000.0,348000000.0,-122000000.0,-122000000.0,,,-388000000.0,-487000000.0,-92000000.0,,,,-18000000.0,-34000000.0,163000000.0,53000000.0,,-86000000.0,-122000000.0,226000000.0,226000000.0,249000000.0,0.3069817984243412,1.4312100494233937,1.2841328413284132,,,,16000000.0,,23000000.0,23000000.0,3.5968486824232544,3.077967943493616,2.826677533279,0.4726976365118174,0.1738657973376799,0.0801412659603368,6.06492800869329,3732534000.0,4567000000.0,8914534000.0,5369000000.0,85.06239523188675,0.5123094488169544,1.0000599057662105,2.3269470112242234,2.945979510905486,6.702657142857142,4.895405820977485,3732534000.0,8914534000.0,12.108848139092638,8914000000.0,3831000000.0,3026000000.0,1330000000.0,1821000000.0,,,,,,,,,,,,67000000.0,,,,,,,,,,,
2000-03-31,TTE.L,quarterly,Q1,2000.0,USD,25055000000.0,25055000000.0,,,,,,,25055000000.0,25055000000.0,,,25055000000.0,,,1629000000.0,,,1629000000.0,,1629000000.0,1629000000.0,2833043478.0,0.5750000000529466,0.5750000000529466,2833043478.0,0.5750000000529466,0.5750000000529466,25055000000.0,15.28854961832061,25055000000.0,25055000000.0,100.0,100.0,6.501696268209938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-602000000.0,,,,,,,,,,,8.843845918555296,8.843845918555296,8.843845918555296,,,,,,,,,,,,,,,,,,,65500000000.0,10014000000.0,10014000000.0,,,,,,-25055000000.0,,,,,,,,,,,,,,,,,,,
2000-03-31,XOM,quarterly,Q1,2000.0,USD,47780000000.0,47780000000.0,29459000000.0,29459000000.0,18321000000.0,13087000000.0,2877000000.0,10210000000.0,5234000000.0,-32000000.0,,,-32000000.0,5266000000.0,2241000000.0,3025000000.0,-383000000.0,-383000000.0,3408000000.0,-72000000.0,3480000000.0,3480000000.0,6960000000.0,0.5,0.4346264367816091,7030303030.0,0.4950000000213362,0.4302801724323397,7362000000.0,13.101055764455149,5234000000.0,5234000000.0,38.34449560485559,10.954374215152782,7.283382168271244,0.2290229885057471,2128000000.0,,2985000000.0,2928000000.0,19083000000.0,19083000000.0,8184000000.0,1138000000.0,,2128000000.0,32380000000.0,,,18305000000.0,18305000000.0,110858000000.0,143238000000.0,25631000000.0,25631000000.0,,7370000000.0,7370000000.0,37221000000.0,8009000000.0,8009000000.0,33403000000.0,,,33403000000.0,41412000000.0,78633000000.0,3461000000.0,,12049000000.0,77004000000.0,-3811000000.0,64605000000.0,,64605000000.0,143238000000.0,6962253176.0,12451000000.0,19.27250212831824,45.10325472290872,0.8699390129228124,-12.114463753925406,,92553000000.0,188420000000.0,95867000000.0,,,,3461000000.0,57000000.0,,,7046000000.0,4220000000.0,4220000000.0,,3025000000.0,2128000000.0,-1493000000.0,-1493000000.0,1830000000.0,1830000000.0,5490000000.0,-1769000000.0,-1769000000.0,,,645000000.0,858000000.0,-1594000000.0,,,,109000000.0,-42000000.0,-3573000000.0,-5058000000.0,-50000000.0,1290000000.0,-1769000000.0,3721000000.0,3721000000.0,5703000000.0,0.5346264367816091,5.532439499537458,1.5775862068965518,,,,151000000.0,,1982000000.0,1982000000.0,6.864942528735632,1.0577586206896552,0.7520114942528736,0.7887931034482759,0.4288793103448275,11.063793103448276,9.282327586206897,271231200000.0,15379000000.0,283625200000.0,92383000000.0,16.647002154075967,0.0542229674937205,1.331442439947235,10.16286369499785,16.033080836630866,13.93941121541259,9.558359451353082,273970909079.1,286421909079.1,40.75074712643679,213021000000.0,27908000000.0,17690000000.0,20347000000.0,29673000000.0,,,,,,,,,,,,,,,,,,,,,,,
2000-06-30,0857.HK,quarterly,Q2,2000.0,CNY,55446579840.0,55446579840.0,,,,,,,55446579840.0,55446579840.0,,,55446579840.0,,,11531365440.0,,,11531365440.0,,11531365440.0,11531365440.0,164735099338.0,0.069999444479893,0.069999444479893,164735099338.0,0.069999444479893,0.069999444479893,55446579840.0,,55446579840.0,55446579840.0,100.0,100.0,20.79725291131681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3365802434503401,0.3365802434503401,0.3365802434503401,,,,,,,,,,,,,,,,,,,,,,,,,,,-55446579840.0,,,,,,,,,,,,,,,,,,,
2000-06-30,BP,quarterly,Q2,2000.0,USD,22836350000.0,22836350000.0,,,,19838062000.0,,19838062000.0,2998288000.0,16493000.0,239683000.0,239683000.0,-223190000.0,2981795000.0,881339000.0,2100456000.0,-2022000.0,-2022000.0,2102478000.0,1011000.0,2101467000.0,2101467000.0,,,,,,,2998288000.0,11.382384126904862,1681176000.0,2998288000.0,100.0,13.129453699912638,9.20228933257723,,1317112000.0,,3916375000.0,2188388000.0,,,4379417000.0,,,13963273000.0,22259065000.0,,,20574014000.0,10847480000.0,64883413000.0,87142478000.0,,,,1871326000.0,1871326000.0,18007133000.0,10802562000.0,10802562000.0,9367858000.0,,,9367858000.0,20170420000.0,38177553000.0,,,,,,47752163000.0,1212762000.0,48964925000.0,87142478000.0,22591769000.0,10485500000.0,21.414308303341624,50.68515472730011,1.2361248734043335,-35.362365106508555,,44309399000.0,44309399000.0,,,,,,1727987000.0,9726534000.0,9726534000.0,4379417000.0,16135807000.0,16135807000.0,,2998288000.0,,-2536965000.0,-2536965000.0,-461323000.0,1604982000.0,,-1874302000.0,-1874302000.0,,,-5060281000.0,-1752936000.0,-781125000.0,1530161000.0,2367540000.0,-837379000.0,,,1451194000.0,2200230000.0,,447294000.0,-1874302000.0,-1874302000.0,-1705462896.222577,-210238000.0,,2.5759651287288263,,5047744000.0,4492553000.0,-5047744000.0,,,133903000.0,133903000.0,,,,,,,,,12673888000.0,9970275000.0,13886650000.0,91.26670579297382,1.2711673449328127,0.1106397676296055,0.972026303066712,0.972026303066712,1.478069897780932,0.8679983916205034,,11698262000.0,,90114750000.0,10257207000.0,10257207000.0,6745469219.668606,11486513219.668606,,,,-22836350000.0,,,,,555191000.0,-412187000.0,-1654118000.0,,,,,,,,,,,,
2000-06-30,CVX,quarterly,Q2,2000.0,USD,13224000000.0,13224000000.0,8685000000.0,8685000000.0,4539000000.0,2279000000.0,386000000.0,1893000000.0,2260000000.0,126000000.0,126000000.0,126000000.0,,2134000000.0,1018000000.0,1116000000.0,,,1116000000.0,,1116000000.0,1116000000.0,1306634000.0,0.8541029852276919,0.8541029852276919,1309400000.0,0.8522987627921186,0.8522987627921186,2959000000.0,22.11185080958481,2260000000.0,2260000000.0,34.32395644283122,17.090139140955838,8.439201451905626,0.3244979083660765,699000000.0,,1724000000.0,1102000000.0,4161000000.0,,1512000000.0,818000000.0,694000000.0,1169000000.0,8566000000.0,5775000000.0,5775000000.0,1944000000.0,1944000000.0,32812000000.0,41378000000.0,6219000000.0,3382000000.0,1806000000.0,2177000000.0,2177000000.0,8396000000.0,5366000000.0,5064000000.0,8866000000.0,7020000000.0,1846000000.0,,14232000000.0,22628000000.0,3326000000.0,534000000.0,2526000000.0,18715000000.0,-129000000.0,18750000000.0,,18750000000.0,41378000000.0,1305335390.0,6139000000.0,32.74133333333333,45.313934941273146,1.0202477370176275,-8.393135317506859,4161000000.0,25093000000.0,54701000000.0,29608000000.0,1031000000.0,302000000.0,302000000.0,2792000000.0,622000000.0,,,,,,,1116000000.0,699000000.0,189000000.0,50000000.0,507000000.0,,2511000000.0,,,-3000000.0,,-961000000.0,-829000000.0,-424000000.0,-37000000.0,20000000.0,-57000000.0,32000000.0,32000000.0,-1336000000.0,-1765000000.0,,-83000000.0,,2511000000.0,2576893158.388004,2609000000.0,1.921731716762307,4.350503686973697,2.25,,,,,-3000000.0,135000000.0,135000000.0,10.1206611797948,2.2645974312623123,1.7296350776116345,1.921731716762307,1.3194207406205565,14.731745844666523,14.34984854213192,55414347939.99999,7543000000.0,61233347939.99999,26792000000.0,28.153926545237383,0.1231845106263187,0.6429778014154608,2.9078425273055366,3.833553367557753,6.338722751479477,6.338722751479477,55531653999.99999,61972653999.99999,46.863427662222165,95234000000.0,21058000000.0,15973000000.0,9660202905.34208,9660202905.34208,,,,,,,,,,-64000000.0,-159000000.0,139000000.0,,70000000.0,660000000.0,,,,,,,,
