date,ticker,period,period_label,fiscal_year,currency,is_sales_revenue_turnover,is_sales_and_services_revenues,is_cogs,is_cog_and_services_sold,is_gross_profit,is_operating_expn,is_sg_and_a_expense,is_operating_expenses_r_and_d,is_oper_income,is_nonop_income_loss,is_other_nonop_income_loss,is_pretax_income,is_inc_tax_exp,is_inc_bef_xo_item,is_ni_including_minority_int_ratio,is_net_income,is_earn_for_common,ebitda,ebitda_margin,ebita,ebit,gross_margin,oper_margin,profit_margin,is_depr_exp,is_avg_num_sh_for_eps,eps,eps_cont_ops,is_sh_for_diluted_eps,diluted_eps,dil_eps_cont_ops,div_per_shr,is_net_interest_expense,is_int_income,is_int_expense,is_other_operating_expenses,is_other_oper_income,is_xo_gl_net_of_tax,is_discontinued_operations,is_extraord_items_and_acctg_chng,bs_c_and_ce_and_sti_detailed,bs_cash_near_cash_item,bs_mkt_sec_other_st_invest,bs_acct_note_rcv,bs_accts_rec_excl_notes_rec,bs_loans_receivable,bs_other_current_receivable,bs_inventories,bs_other_inv,bs_other_current_assets_detailed,bs_cur_asset_report,bs_net_fix_asset,bs_gross_fix_asset,bs_lt_invest,bs_long_term_investments,bs_other_assets_def_chrg_other,bs_disclosed_intangibles,bs_goodwill,bs_other_intangible_assets_detailed,bs_other_noncurrent_assets_detailed,bs_tot_non_cur_asset,bs_tot_asset,bs_other_current_liabs_sub_detailed,bs_other_current_liabs_detailed,bs_cur_liab,bs_lt_borrow,bs_long_term_borrowings_detailed,bs_other_noncur_liabs_sub_detailed,bs_accrued_liabilities,bs_other_noncurrent_liabs_detailed,bs_non_cur_liab,bs_tot_liab,bs_eqty_bef_minority_int_detailed,bs_total_equity,bs_tot_liab_and_eqy,bs_sh_out,net_debt,net_debt_to_shrhldr_eqty,tce_ratio,cur_ratio,cash_conversion_cycle,bs_invtry_raw_materials,bs_invtry_in_progress,bs_invtry_finished_goods,bs_invtry_adj,bs_accum_depr,bs_acct_payable_and_accruals_detailed,bs_acct_payable,bs_taxes_payable,bs_accrual,bs_st_borrow,bs_short_term_debt_detailed,bs_st_deferred_revenue,bs_sh_cap_and_apic,bs_common_stock,bs_add_paid_in_cap,bs_amt_of_tsy_stock,bs_pure_retained_earnings,bs_other_ins_res_to_shrhldr_eqy,bs_deferred_tax_liabs_st,bs_minority_noncontrolling_interest,cf_net_inc,cf_depr_amort,cf_non_cash_items_detailed,cf_stock_based_compensation,cf_def_inc_tax,cf_asset_impairment_charge,cf_other_non_cash_adj_less_detailed,cf_chng_non_cash_work_cap,cf_inc_dec_in_ot_op_ast_liab_detail,cf_cash_from_oper,cf_acquis_fxd_and_intang_detailed,cf_purchase_of_fixed_prod_assets,cf_acquisition_of_intang_assets,cf_net_chg_in_lt_invest_detailed,cf_incr_invest,cf_nt_csh_rcvd_pd_for_acquis_div,cf_cash_for_divestitures,cf_other_investing_act_detailed,cf_cash_from_inv_act,cf_dvd_paid,cf_nt_csh_proc_pymt_debt,cf_proc_debt_and_capital_lease,cf_pymt_debt_and_capital_lease,cf_proc_fr_repurch_eqty_detailed,cf_incr_cap_stock,cf_decr_cap_stock,cf_cash_from_fin_act,cf_effect_foreign_exchanges,cf_net_chng_cash,cf_cap_expenditures,cf_net_cash_paid_for_aquis,cf_free_cash_flow,cf_free_cash_flow_firm,free_cash_flow_equity,pr_to_free_cash_flow,cash_flow_to_net_inc,cf_other_financing_act_excl_fx,free_cash_flow_per_sh,cf_decr_invest,cf_cash_for_acquis_subsidiaries,cf_disp_fxd_and_intangibles_detailed,cf_disposal_of_fixed_prod_assets,cf_net_cash_discont_ops_oper,revenue_per_sh,ebitda_per_sh,oper_inc_per_sh,cash_flow_per_sh,cash_st_investments_per_sh,tang_book_val_per_sh,book_val_per_sh,short_and_long_term_debt,enterprise_value,bs_tot_cap,tot_debt_to_tot_cap,total_debt_to_ev,diluted_ev,ttm_net_sales,ttm_ebitda,ttm_oper_inc,ttm_cash_flow_firm,ttm_free_cash_flow_firm,market_cap,ev_to_ttm_sales,ev_to_ttm_ebitda,ev_to_ttm_ebit,ev_to_ttm_cash_flow_firm,ev_to_ttm_free_cash_flow_firm,diluted_mkt_cap,ev_to_sh_out,bs_st_capital_lease_obligations,bs_lt_capital_lease_obligations,bs_pension_liabilities,bs_total_capital_leases,is_min_noncontrol_interest_credits,cf_acct_rcv_unbilled_rev,cf_change_in_accounts_payable,cf_net_cash_discontinued_ops_inv,cf_change_in_prepaid_assets,bs_pfd_eqty_and_hybrid_cptl,cf_change_in_inventories,is_tot_cash_pfd_dvd
2000-03-31,ALV.DE,quarterly,Q1,1999.0,EUR,18722179278.0,18722179278.0,,,,,,,,,,,,798136680.1,798136680.1,798136680.1,798136680.1,,,,,100.0,,4.263054361,,246359772.0,3.239719998,3.239719998,246359772.0,3.239719998,3.239719998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.99527766,,,,,,,,33095971770.0,,,,33095971770.0,,,,,,33095971770.0,,,,,,33095971770.0,134.34,,,,,,,,,,,,
2000-03-31,ASML.AS,quarterly,Q1,2000.0,EUR,485775117.7,485775117.7,,,,,,,485775117.7,485775117.7,485775117.7,,,72210394.5,72210394.5,72210394.5,72210394.5,485775117.7,11.9419801,485775117.7,485775117.7,100.0,100.0,14.8649842,,312597353.0,0.231001299,0.231001299,332134688.0,0.217412987,0.217412987,,,,,,-485775117.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.553996261,1.553996261,1.553996261,,,,,,13763661453.0,,,,14623890313.0,1492407842.0,178223047.5,178223047.5,,,13763661453.0,9.222453184,77.22716924,77.22716924,,,14623890313.0,44.03,,,,,,,,,,,,
2000-03-31,ENI.MI,quarterly,Q1,2000.0,EUR,11271789900.0,11271789900.0,,,,,,,11271789900.0,11271789900.0,11271789900.0,,,1301597200.0,1301597200.0,1301597200.0,1301597200.0,11271789900.0,9.093815449,11271789900.0,11271789900.0,100.0,100.0,11.54738699,,3987179487.0,0.3264456,0.3264456,3987179487.0,0.3264456,0.3264456,,,,,,-11271789900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.827008399,2.827008399,2.827008399,,,,,,10685641025.0,,,,10685641025.0,35758119880.0,3251777430.0,3251777430.0,,,10685641025.0,0.298831176,3.286092377,3.286092377,,,10685641025.0,2.68,,,,,,,,,,,,
2000-03-31,SAN.MC,quarterly,Q1,2000.0,EUR,3002976213.0,3002976213.0,,,,,1004959641.0,,,-751419178.4,-751419178.4,751419178.4,171527283.1,579891895.3,488577109.1,579891895.3,483376998.1,,,,,100.0,,19.31057238,,4172868522.0,0.115838061,0.13896721,4172868522.0,0.115838061,0.13896721,,,,,-1004959641.0,,91314786.2,,91314786.2,41452754939.0,41452754939.0,,,,,,,,-41452754939.0,,,,39324119320.0,39324119320.0,-39324119320.0,2562905572.0,,2562905572.0,-41887024893.0,,269638000000.0,,,,97775362254.0,97775362254.0,-97775362254.0,,-97775362254.0,,251990000000.0,10600376051.0,17648690205.0,269638000000.0,4172868522.0,56322607316.0,319.1319393,5.648510704,,,,,,,,,,,,,,,1999916653.0,1999916653.0,,,8600460444.0,,,7048314153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-96514897.2,,,,,,,,,,0.719643142,,,,9.933875156,3.615207274,2.540309392,97775362254.0,77475217074.0,115424000000.0,84.70969376,1.262021146,77475217074.0,13270727435.0,,,,,14104295604.0,5.838053524,,,,,14104295604.0,18.566417,,,,,-91314786.2,,,,,,,96514897.2
2000-03-31,SAP.DE,quarterly,Q1,2000.0,EUR,1183365300.0,1183365300.0,499085100.0,499085100.0,684280200.0,555585300.0,362019800.0,193565500.0,128694900.0,34527900.0,34527900.0,94167000.0,37666800.0,56500200.0,55453900.0,56500200.0,56500200.0,128694900.0,14.40262318,128694900.0,128694900.0,57.82493369,10.87533156,4.774535809,,1257073000.0,0.044945838,0.044945838,1257073000.0,0.044945838,0.044945838,,,,,,,1046300.0,,1046300.0,1566311100.0,1566311100.0,,1918914200.0,,,1918914200.0,,,480251700.0,3965477000.0,806697300.0,1309967600.0,,,577557600.0,122417100.0,,122417100.0,455140500.0,1384254900.0,5349731900.0,1326708400.0,1326708400.0,1326708400.0,,,1487838600.0,,1487838600.0,1487838600.0,2814547000.0,2525768200.0,2535184900.0,5349731900.0,244000000.0,-1566311100.0,-61.78291374,46.15692554,2.988958991,,,,,,503270300.0,,,,,,,,,,,,1845673200.0,680095000.0,,9416700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.941365617,0.102376632,0.102376632,,1.245998522,1.919353769,1.468230723,,17035215270.0,1855089900.0,,,17035215270.0,5221501559.0,752033193.9,752033193.9,,,18592109670.0,3.262512723,22.65221191,22.65221191,,,18592109670.0,13.55149245,,,,,-1046300.0,,,,,,,
2000-03-31,TTE.PA,quarterly,Q1,2000.0,USD,25055000000.0,25055000000.0,,,,,,,25055000000.0,25055000000.0,25055000000.0,,,1629000000.0,1629000000.0,1629000000.0,1629000000.0,25055000000.0,15.28854962,25055000000.0,25055000000.0,100.0,100.0,6.501696268,,2833043478.0,0.575,0.575,2833043478.0,0.575,0.575,,,,,,-25055000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-602000000.0,,,,,,,,,,8.843845919,8.843845919,8.843845919,,,,,,16724772.84,,,,16724772.84,65500000000.0,10014000000.0,10014000000.0,,,16724772.84,0.00025534,0.001670139,0.001670139,,,16724772.84,0.005903465,,,,,,,,,,,,
2000-06-30,ALV.DE,quarterly,Q2,1999.0,EUR,18655442323.0,18655442323.0,,,,,,,,,,,593321043.2,795291865.6,1099393011.0,795291865.6,795291865.6,,,,,100.0,,4.26305553,,245270000.0,3.242515863,3.242515863,245270000.0,3.242515863,3.242515863,,,,,,,-304101145.6,,-304101145.6,,,,,,,,,,,,,,,,,9050471462.0,,9050471462.0,-9050471462.0,,397450000000.0,,,,15788876858.0,15788876858.0,-15788876858.0,,-15788876858.0,,356672000000.0,29073871334.0,40778235251.0,397450000000.0,,15788876858.0,38.71888217,8.168839156,,,,,,,,,,,,,,,7774839200.0,7774839200.0,,,121939648.0,,,11704363917.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.06084039,,,,,129.3585183,32.1962688,15788876858.0,56496418274.0,35390019622.0,44.61392513,0.279466864,56496418274.0,,,,,,29003177500.0,,,,,,29003177500.0,230.3437774,,,,,304101145.6,,,,,,,
2000-06-30,ASML.AS,quarterly,Q2,2000.0,EUR,487404737.0,487404737.0,275855424.3,275855424.3,211549312.7,107882674.8,39979914.23,51768230.72,103666637.9,238306.87,238306.87,103428331.0,30975693.86,72452637.15,72452637.15,72452637.15,72452637.15,103666637.9,15.77245457,87532107.99,103666637.9,43.40321229,21.26910758,14.8649842,16134529.89,321809180.0,0.225141611,0.225141611,335393520.0,0.21602277,0.21602277,,,,,16134529.89,,,,,869128250.7,869128250.7,,500800312.6,,,500800312.6,458111888.6,458111888.6,70484243.4,1898524695.0,209764635.7,342880543.7,,,18978465.18,18978465.18,,18978465.18,-2.24e-08,228743100.9,2127267796.0,422585268.4,422585268.4,422585268.4,817010433.3,817010433.3,,,,817010433.3,1239595702.0,773763510.3,887672094.6,2127267796.0,286052639.0,-52117817.45,-5.871291637,41.20371984,4.492642876,578.1763755,,,,,133115908.0,,,,,,,,,,,,624037508.5,149726001.8,,113908584.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.514576859,0.322136982,0.322136982,,2.70075655,2.699405994,1.939153844,817010433.3,16457968488.0,1554956526.0,52.54233283,0.049642241,17150090611.0,1776008645.0,280120156.6,280120156.6,,,16396177721.0,9.266829042,58.75324607,58.75324607,,,17088299844.0,51.14201058,,,,,,,,,,,,
2000-06-30,ENI.MI,quarterly,Q2,2000.0,EUR,11309603130.0,11309603130.0,7249987860.0,7249987860.0,4059615270.0,1717489160.0,699173460.0,,2342126110.0,-26245250.0,-26245250.0,2368371360.0,1062407720.0,1305963640.0,1256622570.0,1305963640.0,1305963640.0,2342126110.0,11.50958423,1323810410.0,2342126110.0,35.89529379,20.70918036,11.54738699,1018315700.0,4001064826.0,0.326404019,0.326404019,4001064826.0,0.326404019,0.326404019,,,,,1018315700.0,,49341070.0,,49341070.0,3746771890.0,1718538970.0,2028232920.0,10830889770.0,,,10830889770.0,2925820470.0,2925820470.0,419924000.0,17923406130.0,25434796680.0,58843950120.0,,,6211725770.0,2327428770.0,,2327428770.0,3884297000.0,31646522450.0,49569928580.0,5099976980.0,5099976980.0,15609624890.0,4302121380.0,4302121380.0,8323943490.0,,8323943490.0,12626064870.0,28235689760.0,19788918500.0,21334238820.0,49569928580.0,4001064826.0,8695576230.0,40.75878358,40.23243928,1.148227857,-48.54438794,,,,,33409153440.0,4397654090.0,4397654090.0,,,6111993820.0,6111993820.0,,4141500450.0,4141500450.0,,,15647418050.0,,,1545320320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.82664831,0.585375697,0.585375697,,0.936443685,4.750437915,4.945912991,10414115200.0,20615964591.0,31748354020.0,32.80206336,0.505148093,22644197511.0,40079919460.0,4613032090.0,4613032090.0,,,12403300961.0,0.514371408,4.469070275,4.469070275,,,12403300961.0,5.152619487,,,,,-49341070.0,,,,,,,
2000-06-30,SAN.MC,quarterly,Q2,2000.0,EUR,3566755720.0,3566755720.0,,,,,1130457454.0,,,-855375739.7,-855375739.7,855375739.7,191630217.8,663745521.9,561869859.9,663745521.9,551852572.9,,,,,100.0,,18.60922289,,4598646395.0,0.120003263,0.144334977,4598646395.0,0.120003263,0.144334977,,,,,-1130457454.0,,101875662.0,,101875662.0,48895880223.0,48895880223.0,,,,,,,,-48895880223.0,,,,49522061443.0,49522061443.0,-49522061443.0,,,,-49522061443.0,,317817000000.0,,,,110473000000.0,110473000000.0,-110473000000.0,,-110473000000.0,,295373000000.0,14911733248.0,22443731568.0,317817000000.0,4598646395.0,61577165099.0,274.3624201,7.061848629,,,,,,,,,,,,,,,2057050205.0,2057050205.0,,,12854684093.0,,,7531998320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-111892949.0,,,,,,,,,,0.775609911,,,,10.63266797,4.880508228,3.242635553,110473000000.0,84468642378.0,132917000000.0,83.11444728,1.307858659,84468642378.0,13561923076.0,,,,,15359478959.0,6.228367607,,,,,15359478959.0,18.36815339,,,,,-101875662.0,,,,,,,111892949.0
