date,ticker,period,period_label,fiscal_year,currency,is_sales_revenue_turnover,is_sales_and_services_revenues,is_cogs,is_cog_and_services_sold,is_gross_profit,is_operating_expn,is_sg_and_a_expense,is_operating_expenses_r_and_d,is_other_operating_expenses,is_oper_income,is_nonop_income_loss,is_net_interest_expense,is_int_expense,is_int_income,is_other_nonop_income_loss,is_pretax_income,is_inc_tax_exp,is_inc_bef_xo_item,is_xo_gl_net_of_tax,is_extraord_items_and_acctg_chng,is_ni_including_minority_int_ratio,is_min_noncontrol_interest_credits,is_net_income,is_earn_for_common,is_avg_num_sh_for_eps,eps,eps_cont_ops,is_sh_for_diluted_eps,diluted_eps,dil_eps_cont_ops,ebitda,ebitda_margin,ebita,ebit,gross_margin,oper_margin,profit_margin,div_per_shr,is_depr_exp,is_tot_cash_pfd_dvd,is_other_oper_income,bs_c_and_ce_and_sti_detailed,bs_cash_near_cash_item,bs_mkt_sec_other_st_invest,bs_accts_rec_excl_notes_rec,bs_other_current_receivable,bs_inventories,bs_invtry_raw_materials,bs_invtry_in_progress,bs_invtry_finished_goods,bs_invtry_adj,bs_other_current_assets_detailed,bs_cur_asset_report,bs_net_fix_asset,bs_gross_fix_asset,bs_other_assets_def_chrg_other,bs_disclosed_intangibles,bs_other_intangible_assets_detailed,bs_other_noncurrent_assets_detailed,bs_tot_non_cur_asset,bs_tot_asset,bs_acct_payable,bs_taxes_payable,bs_accrual,bs_st_borrow,bs_short_term_debt_detailed,bs_st_capital_lease_obligations,bs_other_current_liabs_sub_detailed,bs_other_current_liabs_detailed,bs_cur_liab,bs_lt_borrow,bs_long_term_borrowings_detailed,bs_lt_capital_lease_obligations,bs_other_noncur_liabs_sub_detailed,bs_pension_liabilities,bs_other_noncurrent_liabs_detailed,bs_non_cur_liab,bs_tot_liab,bs_pfd_eqty_and_hybrid_cptl,bs_sh_cap_and_apic,bs_common_stock,bs_add_paid_in_cap,bs_amt_of_tsy_stock,bs_pure_retained_earnings,bs_eqty_bef_minority_int_detailed,bs_minority_noncontrolling_interest,bs_total_equity,bs_tot_liab_and_eqy,bs_sh_out,bs_total_capital_leases,net_debt,net_debt_to_shrhldr_eqty,tce_ratio,cur_ratio,cash_conversion_cycle,bs_accum_depr,bs_goodwill,bs_other_inv,cf_net_inc,cf_non_cash_items_detailed,cf_def_inc_tax,cf_other_non_cash_adj_less_detailed,cf_chng_non_cash_work_cap,cf_acct_rcv_unbilled_rev,cf_change_in_inventories,cf_change_in_prepaid_assets,cf_inc_dec_in_ot_op_ast_liab_detail,cf_cash_from_oper,cf_disp_fxd_and_intangibles_detailed,cf_disposal_of_fixed_prod_assets,cf_acquis_fxd_and_intang_detailed,cf_purchase_of_fixed_prod_assets,cf_acquisition_of_intang_assets,cf_net_chg_in_lt_invest_detailed,cf_decr_invest,cf_incr_invest,cf_nt_csh_rcvd_pd_for_acquis_div,cf_cash_for_divestitures,cf_cash_for_acquis_subsidiaries,cf_other_investing_act_detailed,cf_cash_from_inv_act,cf_dvd_paid,cf_nt_csh_proc_pymt_debt,cf_pymt_debt_and_capital_lease,cf_proc_fr_repurch_eqty_detailed,cf_decr_cap_stock,cf_other_financing_act_excl_fx,cf_cash_from_fin_act,cf_effect_foreign_exchanges,cf_net_chng_cash,cf_cap_expenditures,cf_net_cash_paid_for_aquis,cf_free_cash_flow,cf_free_cash_flow_firm,free_cash_flow_equity,free_cash_flow_per_sh,pr_to_free_cash_flow,cash_flow_to_net_inc,cf_proc_debt_and_capital_lease,cf_incr_cap_stock,cf_stock_based_compensation,revenue_per_sh,ebitda_per_sh,oper_inc_per_sh,cash_flow_per_sh,cash_st_investments_per_sh,book_val_per_sh,tang_book_val_per_sh,market_cap,short_and_long_term_debt,enterprise_value,bs_tot_cap,tot_debt_to_tot_cap,total_debt_to_ev,ev_to_ttm_sales,ev_to_ttm_ebitda,ev_to_ttm_ebit,ev_to_ttm_cash_flow_firm,ev_to_ttm_free_cash_flow_firm,diluted_mkt_cap,diluted_ev,ev_to_sh_out,ttm_net_sales,ttm_ebitda,ttm_oper_inc,ttm_cash_flow_firm,ttm_free_cash_flow_firm,is_discontinued_operations,bs_acct_note_rcv,bs_loans_receivable,bs_lt_invest,bs_long_term_investments,bs_acct_payable_and_accruals_detailed,bs_st_deferred_revenue,bs_accrued_liabilities,bs_other_ins_res_to_shrhldr_eqy,bs_deferred_tax_liabs_st,cf_depr_amort,cf_asset_impairment_charge,cf_change_in_accounts_payable
2000-03-31,005490.KS,quarterly,Q1,2000.0,KRW,3006940264765.06,3006940264765.06,,,,,,,,3006940264765.06,3006940264765.06,,,,3006940264765.06,,,356581858321.5,,,356581858321.5,,356581858321.5,356581858321.5,85386205.0,4176.106179230005,4176.106179230005,85386205.0,4176.106179230005,4176.106179230005,3006940264765.06,-7.324120193094691,3006940264765.06,3006940264765.06,100.0,100.0,11.858627938169588,,,,-3006940264765.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35215.76189930282,35215.76189930282,35215.76189930282,,,,,5200245304081.2,,5200245304081.2,,,,0.421619681935954,,,,,5200245304081.2,5200245304081.2,60902.64,12333971887183.25,-903354925599.8108,-903354925599.8108,,,,,,,,,,,,,,,
2000-06-30,005490.KS,quarterly,Q2,2000.0,KRW,3030405792252.8,3030405792252.8,,,,,,,,3030405792252.8,3030405792252.8,,,,3030405792252.8,,,359364547920.0,,,359364547920.0,,359364547920.0,359364547920.0,85386205.0,4208.695630869179,4208.695630869179,85386205.0,4208.695630869179,4208.695630869179,3030405792252.8,13.657925155494544,3030405792252.8,3030405792252.8,100.0,100.0,11.858627938169588,,,,-3030405792252.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35490.5782761138,35490.5782761138,35490.5782761138,,,,,4619186202021.85,,4619186202021.85,,,,0.3743669576228643,2.7410236427621486,2.7410236427621486,,,4619186202021.85,4619186202021.85,54097.56999999999,12338658922658.44,1685204800848.439,1685204800848.439,,,,,,,,,,,,,,,
2000-09-30,005490.KS,quarterly,Q3,2000.0,KRW,3030405792252.8,3030405792252.8,,,,,,,,3030405792252.8,3030405792252.8,,,,3030405792252.8,,,359364547920.0,,,359364547920.0,,359364547920.0,359364547920.0,85386205.0,4208.695630869179,4208.695630869179,85386205.0,4208.695630869179,4208.695630869179,3030405792252.8,9.750314128835834,3030405792252.8,3030405792252.8,100.0,100.0,11.858627938169588,,,,-3030405792252.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35490.5782761138,35490.5782761138,35490.5782761138,,,,,4052774249568.2,,4052774249568.2,,,,0.3433267734090837,3.5211867932923324,3.5211867932923324,,,4052774249568.2,4052774249568.2,47464.04,11804422385489.88,1150968263679.88,1150968263679.88,,,,,,,,,,,,,,,
2000-12-31,005490.KS,quarterly,Q4,2000.0,KRW,4654796495324.1,4654796495324.1,,,,,,,,-6542830531043.4,-6542830531043.4,,,,-6542830531043.4,,,551992319295.0,,,551992319295.0,,551992319295.0,551992319295.0,,,,,,,-6542830531043.4,18.39979903748572,-6542830531043.4,-6542830531043.4,100.0,-140.5610435948359,11.858570398286904,,,,6542830531043.4,2269044242115.0,878241464302.5,1390802777812.5,1927745886457.5,,1907452586887.5,428251579207.5,507668772435.0,349721870175.0,,188383058947.5,6292625774407.5,10432010087700.0,24159950634922.5,3377873569305.0,534141591585.0,534141591585.0,2843731977720.0,13809883657005.0,20102509431412.5,1297744623810.0,,400045511010.0,2782343861565.0,2782343861565.0,,854975977635.0,854975977635.0,5335109974020.0,4150300874580.0,4150300874580.0,,1079753473912.5,,1079753473912.5,5230054348492.5,10565164322512.5,,4333637157307.5,481345131540.0,3852292025767.5,1467678883815.0,6581011361550.0,9378072037237.5,159273071662.5,9537345108900.0,20102509431412.5,96480625.0,,6054403271842.5,63.48101282601895,46.00896503483944,1.1794744260287502,,13727940547222.5,,621810365070.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6932644736145.0,4822873565692.5,14154274300897.5,48.97916056145254,1.4374510635029607,0.3514561176672556,1.9101084579849903,1.9101084579849903,,,,6213676343505.0,,13722548344594.76,2524921318227.26,2524921318227.26,,,,1927745886457.5,,,,1697790134820.0,,,-68897597805.0,,,,
2001-03-31,005490.KS,quarterly,Q1,2001.0,KRW,3312446219280.0,3312446219280.0,,,,,,,,3312446219280.0,3312446219280.0,,,,3312446219280.0,,,238168658996.25,,,238168658996.25,,238168658996.25,238168658996.25,96480625.0,2468.5646366433675,2468.5646366433675,96480625.0,2468.5646366433675,2468.5646366433675,3312446219280.0,20.17690559496789,3312446219280.0,3312446219280.0,100.0,100.0,7.190113989171991,,,,-3312446219280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34332.76079295714,34332.76079295714,34332.76079295714,,,,,4965570256487.5,,4965570256487.5,,,,0.3539742683204928,1.7543535932921932,1.7543535932921932,,,4965570256487.5,4965570256487.5,51467.02,14028054299109.7,2830427272742.199,2830427272742.199,,,,,,,,,,,,,,,
2001-03-31,105560.KS,quarterly,Q1,2001.0,KRW,,,,,,,,,,,,,,,,,,338183267355.0,,,338183267355.0,,338183267355.0,338183267355.0,299613000.0,1128.7336242252509,1128.7336242252509,299613000.0,1128.7336242252509,1128.7336242252509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-30,005490.KS,quarterly,Q2,2001.0,KRW,3235112837425.92,3235112837425.92,2620105055902.86,2620105055902.86,615007781523.06,197535667778.0,197415045210.02,,120622567.980011,417472113745.06,112579766431.14,,,,112579766431.14,304892347313.92,74180285273.98,232608300689.26,-1896238649.320008,-1896238649.320008,234504539338.58,1896238649.32,232608300689.26,232608300689.26,81550931.0,2852.3071145473496,2852.3071145473496,81550931.0,2852.3071145473496,2852.3071145473496,417472113745.06,1.5281194490191097,417472113745.06,417472113745.06,19.010396620737435,12.90440657634773,7.190113989171991,,,,6.103515625e-05,1929627754346.98,483955900971.8,1445671853375.18,1690977949123.84,,1817137482079.18,720712061579.34,412801556032.2,323372243535.2,,304967574291.7998,5742710759841.8,10331382610262.56,24525817097568.3,3241809335474.1,577696497511.44,577696497511.44,2664112837962.66,13573191945736.66,19315902705578.46,700232165359.94,,322664072329.64,2471880672125.2,2471880672125.2,,591280155086.2197,591280155086.2197,4086057064901.0,4461315170903.64,4461315170903.64,,1162387806948.8604,,1162387806948.8604,5623702977852.5,9709760042753.5,,4325059658710.06,480188066993.5,3844871591716.56,1466801555041.44,6997089487586.16,9442050574782.06,164092088042.9,9606142662824.96,19315902705578.46,,,6449239942057.04,67.13662464138812,48.182019479680335,1.4054406653229006,119.45300384661093,14194434487305.74,,360251620932.43994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39669.84555241828,5119.158158293251,5119.158158293251,,23661.62753368174,91688.4389042678,110709.29607552268,4850078519363.0,6933195843028.84,10017738696087.76,14574565485651.4,47.570514879874416,0.6920919035087698,0.7038506761804026,46.05992526514861,46.05992526514861,,,4850078519363.0,11463410549462.94,122840.27384172672,14232761344282.82,217493594234.45947,217493594234.45947,,,,1690977949123.84,,,,1022896237689.58,,,-413297016472.72,,,,
2001-06-30,105560.KS,quarterly,Q2,2001.0,KRW,1619780802627.86,1619780802627.86,,,,,282352788320.84,,-282352788320.84,477191958046.9,-1297016.8599853516,,,,-1297016.8599853516,477193255063.76,146905317631.04,330287937432.72,,,330287937432.72,,330287937432.72,330287937432.72,301363000.0,1095.9803872164796,1095.9803872164796,301363000.0,1095.9803872164796,1095.9803872164796,477191958046.9,,477191958046.9,477191958046.9,100.0,29.460279889274226,20.390903318330206,,,,-477191958046.9,4042059658976.08,4042059658976.08,,,,,,,,,-4042059658976.08,,,,-23859396864731.7,,,-23859396864731.7,,87701680851412.56,,,,9697616073893.32,9697616073893.32,,-9697616073893.32,-9697616073893.32,,6107431900873.8,6107431900873.8,,-6107431900873.8,,-6107431900873.8,,82742459066190.95,159547340965.46,3107326845328.14,1503728922062.5,1603597923265.64,,1531865108806.48,4959221785221.6,,4959221785221.6,87701680851412.55,317677416.0,,11762988315791.04,237.19423783071275,5.472727999806441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159547340965.46,,,,,,,5374.849608703988,1583.4457383517554,1583.4457383517554,,13412.594309772863,10072.882307612348,15926.555165219816,,15805047974767.12,11922535656756.502,19000189346601.56,83.18363404938417,1.325644848527704,,,,,,,11922535656756.502,39562.04197846617,,,,,,,,,23859396864731.7,23859396864731.7,,,,160482490121.52,,,,
2001-09-30,005490.KS,quarterly,Q3,2001.0,KRW,3272821980626.72,3272821980626.72,,,,,,,,3272821980626.72,3272821980626.72,,,,3272821980626.72,,,186620418340.56,,,186620418340.56,,186620418340.56,186620418340.56,81550931.0,2288.391022054181,2288.391022054181,81550931.0,2288.391022054181,2288.391022054181,3272821980626.72,3.1772306872976164,3272821980626.72,3272821980626.72,100.0,100.0,5.702125549304201,,,,-3272821980626.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40132.24546298215,40132.24546298215,40132.24546298215,,,,,3581597825160.74,,3581597825160.74,,,,0.2474303211190655,7.787609571702728,7.787609571702728,,,3581597825160.74,3581597825160.74,43918.54,14475177532656.74,459909782608.3799,459909782608.3799,,,,,,,,,,,,,,,
2001-09-30,105560.KS,quarterly,Q3,2001.0,KRW,,,,,,,,,,,,,,,,,,138366491770.24,,,138366491770.24,,138366491770.24,138366491770.24,301363000.0,459.1356330081662,459.1356330081662,301363000.0,459.1356330081662,459.1356330081662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-159547340965.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
