Date,asset,open,high,low,close,tick_volume,spread,real_volume
2006-02-14,AAPL.NAS,9.301,9.728,9.285,9.665,523,0,0
2006-02-15,AAPL.NAS,9.616,9.946,9.469,9.889,682,0,0
2006-02-16,AAPL.NAS,9.999,10.136,9.926,10.082,338,0,0
2006-02-17,AAPL.NAS,10.044,10.127,9.945,10.041,362,0,0
2006-02-21,AAPL.NAS,10.09,10.114,9.811,9.869,386,0,0
2006-02-22,AAPL.NAS,9.864,10.238,9.714,10.188,725,0,0
2006-02-23,AAPL.NAS,10.254,10.428,10.205,10.25,443,0,0
2006-02-24,AAPL.NAS,10.294,10.413,10.171,10.208,399,0,0
2006-02-27,AAPL.NAS,10.289,10.303,10.093,10.136,268,0,0
2006-02-28,AAPL.NAS,10.229,10.342,9.73,9.792,788,0,0
2006-03-01,AAPL.NAS,9.857,9.926,9.717,9.871,405,0,0
2006-03-02,AAPL.NAS,9.86,9.999,9.811,9.943999999999999,293,0,0
2006-03-03,AAPL.NAS,9.904,9.987,9.647,9.674,451,0,0
2006-03-06,AAPL.NAS,9.657,9.671,9.034,9.354,972,0,0
2006-03-07,AAPL.NAS,9.394,9.557,9.297,9.473,442,0,0
2006-03-08,AAPL.NAS,9.48,9.6,9.336,9.38,429,0,0
2006-03-09,AAPL.NAS,9.441,9.495,9.117,9.132,448,0,0
2006-03-10,AAPL.NAS,9.154,9.213,8.921,9.037,468,0,0
2006-03-13,AAPL.NAS,9.301,9.468,9.257,9.383,341,0,0
2006-03-14,AAPL.NAS,9.399000000000001,9.618,9.367,9.618,284,0,0
2006-03-15,AAPL.NAS,9.689,9.716,9.36,9.462,486,0,0
2006-03-16,AAPL.NAS,9.556000000000001,9.557,9.186,9.187,374,0,0
2006-03-17,AAPL.NAS,9.249,9.669,9.159,9.237,1009,0,0
2006-03-20,AAPL.NAS,9.316,9.352,9.125,9.142,281,0,0
2006-03-21,AAPL.NAS,9.186,9.19,8.772,8.83,481,0,0
2006-03-22,AAPL.NAS,8.894,9.035,8.728,8.81,531,0,0
2006-03-23,AAPL.NAS,8.813,8.837,8.516,8.594,424,0,0
2006-03-24,AAPL.NAS,8.61,8.706,8.433,8.566,503,0,0
2006-03-27,AAPL.NAS,8.604,8.768,8.485,8.501,464,0,0
2006-03-28,AAPL.NAS,8.527,8.591,8.321,8.388,402,0,0
2006-03-29,AAPL.NAS,8.447,8.913,8.238,8.904,894,0,0
2006-03-30,AAPL.NAS,8.979,9.043,8.79,8.965,493,0,0
2006-03-31,AAPL.NAS,9.034,9.087,8.891,8.96,319,0,0
2006-04-03,AAPL.NAS,9.094,9.16,8.943999999999999,8.95,289,0,0
2006-04-04,AAPL.NAS,8.873,8.889,8.721,8.741,205,0,0
2006-04-05,AAPL.NAS,9.244,9.600999999999999,9.164,9.600999999999999,518,0,0
2006-04-06,AAPL.NAS,9.757,10.293,9.754,10.176,660,0,0
2006-04-07,AAPL.NAS,10.13,10.173,9.781,9.973,628,0,0
2006-04-10,AAPL.NAS,10.034,10.133,9.78,9.81,483,0,0
2006-04-11,AAPL.NAS,9.861,9.9,9.581,9.712,490,0,0
2006-04-12,AAPL.NAS,9.734,9.739,9.361,9.53,553,0,0
2006-04-13,AAPL.NAS,9.471,9.634,9.401,9.495,443,0,0
2006-04-17,AAPL.NAS,9.501,9.547,9.192,9.258,468,0,0
2006-04-18,AAPL.NAS,9.286,9.497,9.257,9.46,307,0,0
2006-04-19,AAPL.NAS,9.546,9.572,9.353,9.375,268,0,0
2006-04-20,AAPL.NAS,9.929,10.0,9.457,9.662,820,0,0
2006-04-21,AAPL.NAS,9.781,9.805,9.495,9.577,417,0,0
2006-04-24,AAPL.NAS,9.56,9.56,9.359,9.393,236,0,0
2006-04-25,AAPL.NAS,9.424,9.513,9.294,9.453,410,0,0
2006-04-26,AAPL.NAS,9.514,9.754,9.485,9.735,318,0,0
2006-04-27,AAPL.NAS,9.677,9.98,9.621,9.909,487,0,0
2006-04-28,AAPL.NAS,9.893,10.186,9.886,10.056,438,0,0
2006-05-01,AAPL.NAS,10.111,10.22,9.881,9.962,530,0,0
2006-05-02,AAPL.NAS,10.021,10.283,10.015,10.231,327,0,0
2006-05-03,AAPL.NAS,10.279,10.279,10.026,10.163,391,0,0
2006-05-04,AAPL.NAS,10.15,10.413,10.067,10.161,682,0,0
2006-05-05,AAPL.NAS,10.271,10.321,10.164,10.27,314,0,0
2006-05-08,AAPL.NAS,10.414,10.483,10.245,10.275,338,0,0
2006-05-09,AAPL.NAS,10.257,10.366,10.09,10.147,443,0,0
2006-05-10,AAPL.NAS,10.186,10.19,9.945,10.086,391,0,0
2006-05-11,AAPL.NAS,10.097,10.117,9.65,9.747,585,0,0
2006-05-12,AAPL.NAS,9.671,9.813,9.551,9.673,523,0,0
