Date,asset,open,high,low,close,tick_volume,spread,real_volume
2006-02-14,AAPL.NAS,9.301,9.728,9.285,9.665,523.0,0.0,0.0
2006-02-14,AMZN.NAS,1.895,1.924,1.869,1.912,1871.0,0.0,0.0
2006-02-14,MSFT.NAS,26.44,26.68,26.35,26.65,451.0,0.0,0.0
2006-02-14,NVDA.NAS,0.36,0.36,0.36,0.36,468.0,0.0,0.0
2006-02-15,AAPL.NAS,9.616,9.946,9.469,9.889,682.0,0.0,0.0
2006-02-15,AMZN.NAS,1.917,1.964,1.905,1.963,1421.0,0.0,0.0
2006-02-15,MSFT.NAS,26.63,26.93,26.5,26.88,611.0,0.0,0.0
2006-02-15,NVDA.NAS,0.36,0.37,0.36,0.37,471.0,0.0,0.0
2006-02-16,AAPL.NAS,9.999,10.136,9.926,10.082,338.0,0.0,0.0
2006-02-16,AMZN.NAS,1.97,1.992,1.941,1.957,1791.0,0.0,0.0
2006-02-16,MSFT.NAS,26.84,26.9,26.57,26.81,631.0,0.0,0.0
2006-02-16,NVDA.NAS,0.38,0.39,0.37,0.39,738.0,0.0,0.0
2006-02-17,AAPL.NAS,10.044,10.127,9.945,10.041,362.0,0.0,0.0
2006-02-17,AMZN.NAS,1.948,1.969,1.945,1.959,721.0,0.0,0.0
2006-02-17,MSFT.NAS,26.73,26.81,26.56,26.7,471.0,0.0,0.0
2006-02-17,NVDA.NAS,0.42,0.42,0.39,0.39,1294.0,0.0,0.0
2006-02-21,AAPL.NAS,10.09,10.114,9.811,9.869,386.0,0.0,0.0
2006-02-21,AMZN.NAS,1.951,1.955,1.913,1.914,971.0,0.0,0.0
2006-02-21,MSFT.NAS,26.66,26.72,26.35,26.54,621.0,0.0,0.0
2006-02-21,NVDA.NAS,0.39,0.39,0.38,0.38,652.0,0.0,0.0
2006-02-22,AAPL.NAS,9.864,10.238,9.714,10.188,725.0,0.0,0.0
2006-02-22,AMZN.NAS,1.917,1.955,1.886,1.936,2381.0,0.0,0.0
2006-02-22,MSFT.NAS,26.54,26.86,26.47,26.72,601.0,0.0,0.0
2006-02-22,NVDA.NAS,0.38,0.38,0.37,0.38,1167.0,0.0,0.0
2006-02-23,AAPL.NAS,10.254,10.428,10.205,10.25,443.0,0.0,0.0
2006-02-23,AMZN.NAS,1.93,1.937,1.894,1.894,1021.0,0.0,0.0
2006-02-23,MSFT.NAS,26.7,26.89,26.54,26.66,661.0,0.0,0.0
2006-02-23,NVDA.NAS,0.38,0.38,0.37,0.38,502.0,0.0,0.0
2006-02-24,AAPL.NAS,10.294,10.413,10.171,10.208,399.0,0.0,0.0
2006-02-24,AMZN.NAS,1.911,1.92,1.893,1.917,981.0,0.0,0.0
2006-02-24,MSFT.NAS,26.58,26.74,26.52,26.63,391.0,0.0,0.0
2006-02-24,NVDA.NAS,0.38,0.38,0.37,0.38,647.0,0.0,0.0
2006-02-27,AAPL.NAS,10.289,10.303,10.093,10.136,268.0,0.0,0.0
2006-02-27,AMZN.NAS,1.924,1.935,1.896,1.9,1061.0,0.0,0.0
2006-02-27,MSFT.NAS,26.75,27.26,26.67,27.05,881.0,0.0,0.0
