Date,XBRUSD,FIVE.NAS,MNDY.NAS,STOXX50,XAUUSD,USDMXN,USDJPY,MKSI.NAS,PLTR.NAS,CHINA50,ONTO.NYSE,ETHUSD,AUDJPY,INTC.NAS,EURUSD,USTEC,BTCUSD,LITE.NAS,US500,AUS200,SCCO.NYSE,TOTAL
2025-09-23,-49.15,0.0,0.0,0.0,2.69,0.0,0.0,0.0,0.0,-12.38,0.0,-0.51,0.0,0.0,-0.09,0.0,0.0,0.0,-9.18,0.0,0.0,-68.62
2025-09-24,-51.72,0.0,0.0,0.0,33.69,0.0,0.0,0.0,0.0,-20.14,0.0,-0.51,0.0,0.0,-0.09,0.0,0.0,0.0,-12.22,0.0,0.0,-50.99
2025-09-25,-75.57,0.0,0.0,0.0,33.69,0.0,0.0,0.0,0.0,-28.26,0.0,0.07,0.0,0.0,37.38,0.0,0.0,0.0,6.62,0.0,0.0,-26.070000000000004
2025-09-26,-75.57,0.0,0.0,0.0,33.69,0.0,0.0,0.0,0.0,-98.77,0.0,6.84,0.0,0.0,84.26,0.0,0.0,0.0,9.44,0.0,0.0,-40.10999999999997
2025-09-27,-75.57,0.0,0.0,0.0,33.69,0.0,0.0,0.0,0.0,-47.53,0.0,20.97,0.0,0.0,95.77,0.0,0.0,0.0,9.44,0.0,0.0,36.769999999999996
2025-09-28,-75.57,0.0,0.0,0.0,33.69,0.0,0.0,0.0,0.0,-47.53,0.0,21.76,0.0,0.0,95.77,0.0,0.0,0.0,9.44,0.0,0.0,37.56
2025-09-29,-75.57,0.0,0.0,0.0,33.69,0.0,0.0,0.0,0.0,-22.25,0.0,14.97,0.0,0.0,117.83,0.0,0.0,0.0,9.44,0.0,0.0,78.11
2025-09-30,-75.57,0.0,0.0,0.0,94.02,0.0,0.0,0.0,0.0,-151.43,0.0,-16.09,0.0,0.0,84.82,0.0,0.0,0.0,-21.37,0.0,0.0,-85.62000000000003
2025-10-01,-75.57,0.0,0.0,0.0,344.33,0.0,0.0,0.0,0.0,-150.25,0.0,-33.64,0.0,0.0,85.69,0.0,0.0,0.0,-17.62,0.0,0.0,152.94
2025-10-02,-75.57,0.0,0.0,0.0,285.56,0.0,0.0,0.0,0.0,-177.63,0.0,-61.53,0.0,0.0,103.97,0.0,0.0,0.0,-12.53,0.0,0.0,62.27000000000001
2025-10-03,-75.57,0.0,0.0,0.0,165.0,0.0,0.0,0.0,0.0,-204.78,0.0,-96.53,0.0,0.0,107.16,0.0,0.0,0.0,-1.65,0.0,0.0,-106.37
