Date,Value,Daily_PnL,Deposits,Total PNL,Cumulative PNL
1/4/2020,1621,0,0,0,0
2/4/2020,3245,1624,-1621,3,3
3/4/2020,3248.678786,3.678786,,3.678786,6.678786
4/4/2020,3278.300329,29.621543,,29.621543,36.300329
5/4/2020,3337.856408,59.556079,,59.556079,95.856408
6/4/2020,3338.407571,0.551163,,0.551163,96.407571
7/4/2020,3338.959481,0.55191,,0.55191,96.959481
8/4/2020,3402.621915,63.662434,,63.662434,160.621915
9/4/2020,3439.327334,36.705419,,36.705419,197.327334
10/4/2020,3431.248362,-8.078972,,-8.078972,189.248362
11/4/2020,3460.294867,29.046505,,29.046505,218.294867
12/4/2020,3452.349349,-7.945518,,-7.945518,210.349349
13/4/2020,3444.352034,-7.997315,,-7.997315,202.352034
14/4/2020,3462.510872,18.158838,,18.158838,220.510872
15/4/2020,3400.513408,-61.997464,,-61.997464,158.513408
16/4/2020,3347.365828,-53.14758,,-53.14758,105.365828
17/4/2020,3336.444723,-10.921105,,-10.921105,94.444723
18/4/2020,3309.934135,-26.510588,,-26.510588,67.934135
19/4/2020,3329.244191,19.310056,,19.310056,87.244191
20/4/2020,3306.470714,-22.773477,,-22.773477,64.470714
21/4/2020,3266.774078,-39.696636,,-39.696636,24.774078
22/4/2020,3324.007226,57.233148,,57.233148,82.007226
23/4/2020,3324.843044,0.835818,,0.835818,82.843044
24/4/2020,3335.80439,10.961346,,10.961346,93.80439
25/4/2020,3294.993539,-40.810851,,-40.810851,52.993539
26/4/2020,3285.006938,-9.986601,,-9.986601,43.006938
27/4/2020,3297.178741,12.171803,,12.171803,55.178741
28/4/2020,3266.574177,-30.604564,,-30.604564,24.574177
29/4/2020,3287.444635,20.870458,,20.870458,45.444635
30/4/2020,3275.602553,-11.842082,,-11.842082,33.602553
1/5/2020,3274.204309,-1.398244,,-1.398244,32.204309
2/5/2020,3262.419295,-11.785014,,-11.785014,20.419295
3/5/2020,3332.367099,69.947804,,69.947804,90.367099
4/5/2020,3340.566967,8.199868,,8.199868,98.566967
5/5/2020,3312.430085,-28.136882,,-28.136882,70.430085
6/5/2020,3349.188987,36.758902,,36.758902,107.188987
7/5/2020,3315.201909,-33.987078,,-33.987078,73.201909
8/5/2020,3330.953795,15.751886,,15.751886,88.953795
9/5/2020,3271.725568,-59.228227,,-59.228227,29.725568
10/5/2020,3235.651071,-36.074497,,-36.074497,-6.348929
11/5/2020,3250.279976,14.628905,,14.628905,8.279976
12/5/2020,3282.928628,32.648652,,32.648652,40.928628
13/5/2020,3297.121394,14.192766,,14.192766,55.121394
14/5/2020,3301.684842,4.563448,,4.563448,59.684842
15/5/2020,3299.944368,-1.740474,,-1.740474,57.944368
16/5/2020,3258.146506,-41.797862,,-41.797862,16.146506
17/5/2020,3242.553821,-15.592685,,-15.592685,0.553821
18/5/2020,3235.629056,-6.924765,,-6.924765,-6.370944
19/5/2020,3278.419765,42.790709,,42.790709,36.419765
20/5/2020,3298.360823,19.941058,,19.941058,56.360823
21/5/2020,3246.930752,-51.430071,,-51.430071,4.930752
22/5/2020,3265.854059,18.923307,,18.923307,23.854059
23/5/2020,3261.35027,-4.503789,,-4.503789,19.35027
24/5/2020,3247.154686,-14.195584,,-14.195584,5.154686
25/5/2020,3275.561646,28.40696,,28.40696,33.561646
26/5/2020,3318.52026,42.958614,,42.958614,76.52026
27/5/2020,3359.149683,40.629423,,40.629423,117.149683
28/5/2020,3338.405107,-20.744576,,-20.744576,96.405107
29/5/2020,3336.344985,-2.060122,,-2.060122,94.344985
30/5/2020,3356.54441,20.199425,,20.199425,114.54441
31/5/2020,3399.628308,43.083898,,43.083898,157.628308
1/6/2020,3391.37424,-8.254068,,-8.254068,149.37424
2/6/2020,3393.680961,2.306721,,2.306721,151.680961
3/6/2020,3362.940577,-30.740384,,-30.740384,120.940577
4/6/2020,3329.55575,-33.384827,,-33.384827,87.55575
5/6/2020,3366.3352,36.77945,,36.77945,124.3352
6/6/2020,3423.116911,56.781711,,56.781711,181.116911
7/6/2020,3429.611109,6.494198,,6.494198,187.611109
8/6/2020,3475.510744,45.899635,,45.899635,233.510744
9/6/2020,3498.468021,22.957277,,22.957277,256.468021
10/6/2020,3483.456095,-15.011926,,-15.011926,241.456095
11/6/2020,3506.501502,23.045407,,23.045407,264.501502
12/6/2020,3574.722297,68.220795,,68.220795,332.722297
13/6/2020,3583.186119,8.463822,,8.463822,341.186119
14/6/2020,3655.205187,72.019068,,72.019068,413.205187
15/6/2020,3557.742071,-97.463116,,-97.463116,315.742071
16/6/2020,3599.737966,41.995895,,41.995895,357.737966
17/6/2020,3613.226171,13.488205,,13.488205,371.226171
18/6/2020,3611.251737,-1.974434,,-1.974434,369.251737
19/6/2020,3625.007278,13.755541,,13.755541,383.007278
20/6/2020,3554.593787,-70.413491,,-70.413491,312.593787
21/6/2020,3555.780098,1.186311,,1.186311,313.780098
22/6/2020,3579.54224,23.762142,,23.762142,337.54224
23/6/2020,3647.99249,68.45025,,68.45025,405.99249
24/6/2020,3636.997744,-10.994746,,-10.994746,394.997744
25/6/2020,3614.231338,-22.766406,,-22.766406,372.231338
26/6/2020,3604.083358,-10.14798,,-10.14798,362.083358
27/6/2020,3650.822584,46.739226,,46.739226,408.822584
28/6/2020,3674.574789,23.752205,,23.752205,432.574789
29/6/2020,3662.960406,-11.614383,,-11.614383,420.960406
30/6/2020,3694.470532,31.510126,,31.510126,452.470532
1/7/2020,3709.017735,14.547203,,14.547203,467.017735
2/7/2020,3760.449857,51.432122,,51.432122,518.449857
3/7/2020,3740.906248,-19.543609,,-19.543609,498.906248
4/7/2020,3737.579037,-3.327211,,-3.327211,495.579037
5/7/2020,3731.500278,-6.078759,,-6.078759,489.500278
6/7/2020,3679.739009,-51.761269,,-51.761269,437.739009
7/7/2020,3702.467867,22.728858,,22.728858,460.467867
8/7/2020,3723.969676,21.501809,,21.501809,481.969676
9/7/2020,3734.812863,10.843187,,10.843187,492.812863
10/7/2020,3735.471305,0.658442,,0.658442,493.471305
11/7/2020,3685.671024,-49.800281,,-49.800281,443.671024
12/7/2020,3678.548729,-7.122295,,-7.122295,436.548729
