ticker,name,sector,industry
BE,Bloom Energy Corporation,Industrials,Electrical Equipment & Parts
CRDO,Credo Technology Group Holding Ltd,Technology,Semiconductors
FN,Fabrinet,Technology,Electronic Components
KTOS,"Kratos Defense & Security Solutions, Inc.",Industrials,Aerospace & Defense
NXT,Nextpower Inc.,Technology,Solar
SATS,EchoStar Corporation,Communication Services,Telecom Services
CDE,"Coeur Mining, Inc.",Basic Materials,Gold
HL,Hecla Mining Company,Basic Materials,Other Precious Metals & Mining
GH,"Guardant Health, Inc.",Healthcare,Diagnostics & Research
STRL,"Sterling Infrastructure, Inc.",Industrials,Engineering & Construction
AEIS,"Advanced Energy Industries, Inc.",Industrials,Electrical Equipment & Parts
DY,"Dycom Industries, Inc.",Industrials,Engineering & Construction
SPXC,"SPX Technologies, Inc.",Industrials,Building Products & Equipment
ENSG,"The Ensign Group, Inc.",Healthcare,Medical Care Facilities
MOD,Modine Manufacturing Company,Consumer Cyclical,Auto Parts
IONQ,"IonQ, Inc.",Technology,Computer Hardware
RMBS,Rambus Inc.,Technology,Semiconductors
BBIO,"BridgeBio Pharma, Inc.",Healthcare,Biotechnology
AVAV,"AeroVironment, Inc.",Industrials,Aerospace & Defense
TTMI,"TTM Technologies, Inc.",Technology,Electronic Components
MOGA,,,
GTLS,"Chart Industries, Inc.",Industrials,Specialty Industrial Machinery
UMBF,UMB Financial Corporation,Financial Services,Banks - Regional
WTS,"Watts Water Technologies, Inc.",Industrials,Specialty Industrial Machinery
IDCC,"InterDigital, Inc.",Technology,Software - Application
CTRE,"CareTrust REIT, Inc.",Real Estate,REIT - Healthcare Facilities
PRIM,Primoris Services Corporation,Industrials,Engineering & Construction
AHR,"American Healthcare REIT, Inc.",Real Estate,REIT - Healthcare Facilities
ONB,Old National Bancorp,Financial Services,Banks - Regional
CMC,Commercial Metals Company,Basic Materials,Steel
SITM,SiTime Corporation,Technology,Semiconductors
FLR,Fluor Corporation,Industrials,Engineering & Construction
JBTM,JBT Marel Corporation,Industrials,Specialty Industrial Machinery
ARWR,"Arrowhead Pharmaceuticals, Inc.",Healthcare,Biotechnology
RNA,"Avidity Biosciences, Inc.",Healthcare,Biotechnology
XTSLA,,,
PRAX,"Praxis Precision Medicines, Inc.",Healthcare,Biotechnology
MDGL,"Madrigal Pharmaceuticals, Inc.",Healthcare,Biotechnology
CYTK,"Cytokinetics, Incorporated",Healthcare,Biotechnology
SANM,Sanmina Corporation,Technology,Electronic Components
TEX,Terex Corporation,Industrials,Farm & Heavy Construction Machinery
UEC,Uranium Energy Corp.,Energy,Uranium
LUMN,"Lumen Technologies, Inc.",Communication Services,Telecom Services
ZWS,Zurn Elkay Water Solutions Corporation,Industrials,Pollution & Treatment Controls
AXSM,"Axsome Therapeutics, Inc.",Healthcare,Biotechnology
JXN,Jackson Financial Inc.,Financial Services,Insurance - Life
APLD,Applied Digital Corporation,Technology,Information Technology Services
IBP,"Installed Building Products, Inc.",Consumer Cyclical,Residential Construction
SMTC,Semtech Corporation,Technology,Semiconductors
ORA,"Ormat Technologies, Inc.",Utilities,Utilities - Renewable
OKLO,Oklo Inc.,Utilities,Utilities - Independent Power Producers
FCFS,"FirstCash Holdings, Inc.",Financial Services,Credit Services
FORM,"FormFactor, Inc.",Technology,Semiconductor Equipment & Materials
PCVX,"Vaxcyte, Inc.",Healthcare,Biotechnology
ESE,ESCO Technologies Inc.,Technology,Scientific & Technical Instruments
FSS,Federal Signal Corporation,Industrials,Pollution & Treatment Controls
GATX,GATX Corporation,Industrials,Rental & Leasing Services
HQY,"HealthEquity, Inc.",Healthcare,Health Information Services
SLAB,Silicon Laboratories Inc.,Technology,Semiconductors
COMP,"Compass, Inc.",Real Estate,Real Estate Services
TRNO,Terreno Realty Corporation,Real Estate,REIT - Industrial
EAT,"Brinker International, Inc.",Consumer Cyclical,Restaurants
ENS,EnerSys,Industrials,Electrical Equipment & Parts
GKOS,Glaukos Corporation,Healthcare,Medical Devices
CWAN,"Clearwater Analytics Holdings, Inc.",Technology,Software - Application
KRYS,"Krystal Biotech, Inc.",Healthcare,Biotechnology
QBTS,D-Wave Quantum Inc.,Technology,Computer Hardware
TMHC,Taylor Morrison Home Corporation,Consumer Cyclical,Residential Construction
VLY,Valley National Bancorp,Financial Services,Banks - Regional
